device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
j7duo2,org-mozilla-fenix,0,100.0,0.0,-88.96481876332622,4160.0,-88.04690831556503,0.04659972304,0.046693978239999996,0.00046523701492537313
j7duo2,org-mozilla-fenix,1,100.0,0.0,-93.21595744680852,4160.0,-86.79574468085106,0.042028800320000004,0.04203927829787234,0.00041830127659574467
j7duo2,org-mozilla-fenix,2,100.0,0.0,-76.56415694591729,4160.0,-46.10922587486744,0.03844643712,0.038341271415652176,0.0003818509437963945
j7duo2,org-mozilla-fenix,3,100.0,0.0,-113.43829787234043,4160.0,-117.15957446808511,0.04993150656,0.049759303767148946,0.0004961640851063831
j7duo2,org-mozilla-fenix,4,100.0,0.0,-155.87021276595743,4160.0,-128.19255319148937,0.06439351984,0.06447112813174467,0.0006421491063829787
j7duo2,org-mozilla-fenix,5,100.0,0.0,-92.15026455026455,4160.0,-108.3037037037037,0.0473392816,0.0470795954224762,0.00046918196825396837
j7duo2,org-mozilla-fenix,6,100.0,0.0,-81.79449152542372,4160.0,-128.67055084745763,0.06304107264,0.06290548047186441,0.0006266484745762712
j7duo2,org-mozilla-fenix,7,100.0,0.0,-51.812236286919834,4160.0,-19.030590717299578,0.04033950336,0.04018979072168777,0.00040080371308016884
j7duo2,org-mozilla-fenix,8,100.0,0.0,-91.87209302325581,4160.0,-129.938689217759,0.056193941440000006,0.05572437510765327,0.0005550126004228329
j7duo2,org-mozilla-fenix,9,100.0,0.0,-162.65425531914894,4160.0,-176.50212765957446,0.09000485728,0.09006126997787234,0.0008964888510638298
