Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1697997008721,-158,4160,-155,0,100
1697997008829,-158,4160,-155,0,100
1697997008947,-158,4160,-155,0,100
1697997009055,-158,4160,-155,0,100
1697997009164,-158,4160,-155,0,100
1697997009273,-158,4160,-155,0,100
1697997009383,-158,4160,-155,0,100
1697997009491,-158,4160,-155,0,100
1697997009599,-158,4160,-155,0,100
1697997009707,-158,4160,-155,0,100
1697997009824,-158,4160,-155,0,100
1697997009934,-158,4160,-155,0,100
1697997010051,-158,4160,-155,0,100
1697997010166,-158,4160,-155,0,100
1697997010284,-158,4160,-155,0,100
1697997010403,-158,4160,-155,0,100
1697997010514,-158,4160,-155,0,100
1697997010621,-158,4160,-155,0,100
1697997010730,-158,4160,-155,0,100
1697997010840,-158,4160,-155,0,100
1697997010950,-158,4160,-155,0,100
1697997011061,-158,4160,-155,0,100
1697997011183,-158,4160,-155,0,100
1697997011296,-158,4160,-155,0,100
1697997011413,-158,4160,-155,0,100
1697997011538,-158,4160,-155,0,100
1697997011648,-158,4160,-155,0,100
1697997011759,-158,4160,-155,0,100
1697997011878,-158,4160,-155,0,100
1697997011986,-158,4160,-155,0,100
1697997012095,-158,4160,-155,0,100
1697997012203,-158,4160,-155,0,100
1697997012312,-158,4160,-155,0,100
1697997012439,-158,4160,-155,0,100
1697997012549,-158,4160,-155,0,100
1697997012661,-158,4160,-155,0,100
1697997012769,-158,4160,-155,0,100
1697997012877,-158,4160,-155,0,100
1697997012985,-158,4160,-155,0,100
1697997013093,-158,4160,-155,0,100
1697997013202,-158,4160,-155,0,100
1697997013312,-158,4160,-155,0,100
1697997013426,-158,4160,-155,0,100
1697997013537,-158,4160,-155,0,100
1697997013644,-158,4160,-155,0,100
1697997013752,-158,4160,-155,0,100
1697997013861,-158,4160,-155,0,100
1697997013972,-158,4160,-155,0,100
1697997014079,-158,4160,-155,0,100
1697997014187,-158,4160,-155,0,100
1697997014295,-158,4160,-155,0,100
1697997014404,-158,4160,-155,0,100
1697997014512,-158,4160,-155,0,100
1697997014620,-158,4160,-155,0,100
1697997014729,-158,4160,-155,0,100
1697997014847,-158,4160,-155,0,100
1697997014956,-158,4160,-155,0,100
1697997015067,-158,4160,-155,0,100
1697997015177,-158,4160,-155,0,100
1697997015283,-158,4160,-155,0,100
1697997015391,-158,4160,-155,0,100
1697997015499,-158,4160,-155,0,100
1697997015608,-158,4160,-155,0,100
1697997015717,-158,4160,-155,0,100
1697997015825,-158,4160,-155,0,100
1697997015934,-158,4160,-155,0,100
1697997016042,-158,4160,-155,0,100
1697997016150,-158,4160,-155,0,100
1697997016261,-158,4160,-155,0,100
1697997016369,-158,4160,-155,0,100
1697997016477,-158,4160,-155,0,100
1697997016584,-158,4160,-155,0,100
1697997016692,-158,4160,-155,0,100
1697997016803,-158,4160,-155,0,100
1697997016918,-158,4160,-155,0,100
1697997017029,-158,4160,-155,0,100
1697997017136,-158,4160,-155,0,100
1697997017244,-158,4160,-155,0,100
1697997017355,-158,4160,-155,0,100
1697997017476,-158,4160,-155,0,100
1697997017583,-158,4160,-155,0,100
1697997017692,-158,4160,-155,0,100
1697997017805,-158,4160,-155,0,100
1697997017912,-158,4160,-155,0,100
1697997018021,-158,4160,-155,0,100
1697997018134,-158,4160,-155,0,100
1697997018242,-158,4160,-155,0,100
1697997018353,-158,4160,-155,0,100
1697997018462,-158,4160,-155,0,100
1697997018569,-158,4160,-155,0,100
1697997018678,-158,4160,-155,0,100
1697997018785,-158,4160,-155,0,100
1697997018892,-158,4160,-155,0,100
1697997019000,-158,4160,-155,0,100
1697997019111,-158,4160,-155,0,100
1697997019220,-158,4160,-155,0,100
1697997019329,-158,4160,-155,0,100
1697997019441,-158,4160,-155,0,100
1697997019552,-158,4160,-155,0,100
1697997019659,-158,4160,-155,0,100
1697997019765,-158,4160,-155,0,100
1697997019877,-158,4160,-155,0,100
1697997019984,-158,4160,-155,0,100
1697997020092,-158,4160,-155,0,100
1697997020201,-158,4160,-155,0,100
1697997020310,-158,4160,-155,0,100
1697997020417,-158,4160,-155,0,100
1697997020523,-158,4160,-155,0,100
1697997020631,-158,4160,-155,0,100
1697997020739,-158,4160,-155,0,100
1697997020847,-158,4160,-155,0,100
1697997020953,-158,4160,-155,0,100
1697997021062,-158,4160,-155,0,100
1697997021168,-158,4160,-155,0,100
1697997021277,-158,4160,-155,0,100
1697997021383,-158,4160,-155,0,100
1697997021491,-158,4160,-155,0,100
1697997021602,-158,4160,-155,0,100
1697997021710,-158,4160,-155,0,100
1697997021821,-158,4160,-155,0,100
1697997021928,-158,4160,-155,0,100
1697997022034,-158,4160,-155,0,100
1697997022140,-158,4160,-155,0,100
1697997022248,-158,4160,-155,0,100
1697997022355,-158,4160,-155,0,100
1697997022462,-158,4160,-155,0,100
1697997022568,-158,4160,-155,0,100
1697997022676,-158,4160,-155,0,100
1697997022784,-158,4160,-155,0,100
1697997022893,-158,4160,-155,0,100
