Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1697982229561,-132,4260,-146,0,100
1697982229668,-132,4260,-146,0,100
1697982229778,-132,4260,-146,0,100
1697982229886,-132,4260,-146,0,100
1697982229995,-132,4260,-146,0,100
1697982230104,-635,4260,-354,0,100
1697982230212,-635,4260,-354,0,100
1697982230319,-635,4260,-354,0,100
1697982230431,-635,4260,-354,0,100
1697982230541,-635,4260,-354,0,100
1697982230651,-635,4260,-354,0,100
1697982230761,-635,4260,-354,0,100
1697982230872,-635,4260,-354,0,100
1697982230985,-635,4260,-354,0,100
1697982231096,-635,4260,-354,0,100
1697982231204,-635,4260,-354,0,100
1697982231320,-635,4260,-354,0,100
1697982231432,-635,4260,-354,0,100
1697982231551,-635,4260,-354,0,100
1697982231669,-635,4260,-354,0,100
1697982231782,-635,4260,-354,0,100
1697982231901,-635,4260,-354,0,100
1697982232014,-635,4260,-354,0,100
1697982232124,-635,4260,-354,0,100
1697982232242,-635,4260,-354,0,100
1697982232361,-635,4260,-354,0,100
1697982232478,-635,4260,-354,0,100
1697982232594,-635,4260,-354,0,100
1697982232709,-635,4260,-354,0,100
1697982232824,-635,4260,-354,0,100
1697982232942,-635,4260,-354,0,100
1697982233058,-635,4260,-354,0,100
1697982233174,-635,4260,-354,0,100
1697982233291,-635,4260,-354,0,100
1697982233408,-635,4260,-354,0,100
1697982233527,-635,4260,-354,0,100
1697982233644,-635,4260,-354,0,100
1697982233760,-635,4260,-354,0,100
1697982233876,-635,4260,-354,0,100
1697982233993,-635,4260,-354,0,100
1697982234108,-635,4260,-354,0,100
1697982234220,-635,4260,-354,0,100
1697982234329,-635,4260,-354,0,100
1697982234439,-635,4260,-354,0,100
1697982234551,-635,4260,-354,0,100
1697982234662,-635,4260,-354,0,100
1697982234774,-635,4260,-354,0,100
1697982234883,-635,4260,-354,0,100
1697982235001,-635,4260,-354,0,100
1697982235111,-635,4260,-354,0,100
1697982235221,-635,4260,-354,0,100
1697982235333,-635,4260,-354,0,100
1697982235444,-635,4260,-354,0,100
1697982235554,-635,4260,-354,0,100
1697982235664,-635,4260,-354,0,100
1697982235773,-635,4260,-354,0,100
1697982235887,-635,4260,-354,0,100
1697982236179,-635,4260,-354,0,100
1697982236288,-635,4260,-354,0,100
1697982236397,-635,4260,-354,0,100
1697982236508,-635,4260,-354,0,100
1697982236639,-635,4260,-354,0,100
1697982236751,-635,4260,-354,0,100
1697982236864,-635,4260,-354,0,100
1697982237030,-635,4260,-354,0,100
1697982237142,-635,4260,-354,0,100
1697982237254,-635,4260,-354,0,100
1697982237364,-635,4260,-354,0,100
1697982237476,-635,4260,-354,0,100
1697982237586,-635,4260,-354,0,100
1697982237702,-635,4260,-354,0,100
1697982237816,-635,4260,-354,0,100
1697982237930,-635,4260,-354,0,100
1697982238043,-635,4260,-354,0,100
1697982238156,-635,4260,-354,0,100
1697982238269,-635,4260,-354,0,100
1697982238382,-635,4260,-354,0,100
1697982238498,-635,4260,-354,0,100
1697982238609,-635,4260,-354,0,100
1697982238719,-635,4260,-354,0,100
1697982238829,-635,4260,-354,0,100
1697982238943,-635,4260,-354,0,100
1697982239058,-635,4260,-354,0,100
1697982239168,-635,4260,-354,0,100
1697982239282,-635,4260,-354,0,100
1697982239390,-635,4260,-354,0,100
1697982239499,-635,4260,-354,0,100
1697982239613,-635,4260,-354,0,100
1697982239725,-635,4260,-354,0,100
1697982239838,-635,4260,-354,0,100
1697982239962,-635,4260,-354,0,100
1697982240075,-635,4260,-354,0,100
1697982240181,-635,4260,-354,0,100
1697982240292,-635,4260,-354,0,100
1697982240400,-635,4260,-354,0,100
1697982240507,-635,4260,-354,0,100
