Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1697999665030,149,4308,159,0,100
1697999665136,149,4308,159,0,100
1697999665244,149,4308,159,0,100
1697999665353,149,4308,159,0,100
1697999665461,149,4308,159,0,100
1697999665569,149,4308,159,0,100
1697999665677,149,4308,159,0,100
1697999665794,149,4308,159,0,100
1697999665906,149,4308,159,0,100
1697999666019,149,4308,159,0,100
1697999666131,149,4308,159,0,100
1697999666245,149,4308,159,0,100
1697999666371,149,4308,159,0,100
1697999666481,149,4308,159,0,100
1697999666591,149,4308,159,0,100
1697999666700,149,4308,159,0,100
1697999666808,149,4308,159,0,100
1697999666915,149,4308,159,0,100
1697999667024,149,4308,159,0,100
1697999667133,149,4308,159,0,100
1697999667245,149,4308,159,0,100
1697999667355,149,4308,159,0,100
1697999667463,149,4308,159,0,100
1697999667579,149,4308,159,0,100
1697999667693,149,4308,159,0,100
1697999667803,149,4308,159,0,100
1697999667914,149,4308,159,0,100
1697999668025,149,4308,159,0,100
1697999668142,149,4308,159,0,100
1697999668259,149,4308,159,0,100
1697999668370,149,4308,159,0,100
1697999668489,149,4308,159,0,100
1697999668599,149,4308,159,0,100
1697999668712,149,4308,159,0,100
1697999668819,149,4308,159,0,100
1697999668928,149,4308,159,0,100
1697999669035,149,4308,159,0,100
1697999669143,149,4308,159,0,100
1697999669251,149,4308,159,0,100
1697999669359,149,4308,159,0,100
1697999669471,-162,4308,-113,0,100
1697999669586,-162,4308,-113,0,100
1697999669696,-162,4308,-113,0,100
1697999669805,-162,4308,-113,0,100
1697999669915,-162,4308,-113,0,100
1697999670022,-162,4308,-113,0,100
1697999670130,-162,4308,-113,0,100
1697999670237,-162,4308,-113,0,100
1697999670352,-162,4308,-113,0,100
1697999670460,-162,4308,-113,0,100
1697999670569,-162,4308,-113,0,100
1697999670681,-162,4308,-113,0,100
1697999670791,-162,4308,-113,0,100
1697999670899,-162,4308,-113,0,100
1697999671011,-162,4308,-113,0,100
1697999671120,-162,4308,-113,0,100
1697999671227,-162,4308,-113,0,100
1697999671337,-162,4308,-113,0,100
1697999671445,-162,4308,-113,0,100
1697999671554,-162,4308,-113,0,100
1697999671663,-162,4308,-113,0,100
1697999671772,-162,4308,-113,0,100
1697999671880,-162,4308,-113,0,100
1697999671989,-162,4308,-113,0,100
1697999672099,-162,4308,-113,0,100
1697999672207,-162,4308,-113,0,100
1697999672316,-162,4308,-113,0,100
1697999672423,-162,4308,-113,0,100
1697999672532,-162,4308,-113,0,100
1697999672641,-162,4308,-113,0,100
1697999672749,-162,4308,-113,0,100
1697999672871,-162,4308,-113,0,100
1697999672977,-162,4308,-113,0,100
1697999673085,-162,4308,-113,0,100
1697999673194,-162,4308,-113,0,100
1697999673303,-162,4308,-113,0,100
1697999673409,-162,4308,-113,0,100
1697999673530,-162,4308,-113,0,100
1697999673639,-162,4308,-113,0,100
1697999673745,-162,4308,-113,0,100
1697999673854,-162,4308,-113,0,100
1697999673970,-162,4308,-113,0,100
1697999674078,-162,4308,-113,0,100
1697999674186,-162,4308,-113,0,100
1697999674294,-162,4308,-113,0,100
1697999674404,-162,4308,-113,0,100
1697999674515,-162,4308,-113,0,100
1697999674623,-162,4308,-113,0,100
1697999674731,-162,4308,-113,0,100
1697999674840,-162,4308,-113,0,100
1697999674947,-162,4308,-113,0,100
1697999675056,-162,4308,-113,0,100
1697999675162,-162,4308,-113,0,100
1697999675271,-162,4308,-113,0,100
1697999675378,-162,4308,-113,0,100
1697999675485,-162,4308,-113,0,100
1697999675593,-162,4308,-113,0,100
1697999675702,-162,4308,-113,0,100
1697999675809,-162,4308,-113,0,100
1697999675918,-162,4308,-113,0,100
1697999676027,-162,4308,-113,0,100
1697999676140,-162,4308,-113,0,100
1697999676253,-162,4308,-113,0,100
1697999676362,-162,4308,-113,0,100
1697999676475,-162,4308,-113,0,100
1697999676584,-162,4308,-113,0,100
1697999676692,-162,4308,-113,0,100
1697999676799,-162,4308,-113,0,100
1697999676906,-162,4308,-113,0,100
1697999677012,-162,4308,-113,0,100
1697999677120,-162,4308,-113,0,100
1697999677229,-162,4308,-113,0,100
1697999677338,-162,4308,-113,0,100
1697999677445,-162,4308,-113,0,100
1697999677556,-162,4308,-113,0,100
1697999677663,-162,4308,-113,0,100
1697999677777,-162,4308,-113,0,100
1697999677885,-162,4308,-113,0,100
1697999677993,-162,4308,-113,0,100
1697999678101,-162,4308,-113,0,100
1697999678208,-162,4308,-113,0,100
1697999678315,-162,4308,-113,0,100
