Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1697971716372,110,4310,172,0,100
1697971716486,110,4310,172,0,100
1697971716600,110,4310,172,0,100
1697971716715,110,4310,172,0,100
1697971716840,110,4310,172,0,100
1697971716957,110,4310,172,0,100
1697971717073,110,4310,172,0,100
1697971717191,110,4310,172,0,100
1697971717308,110,4310,172,0,100
1697971717431,110,4310,172,0,100
1697971717553,110,4310,172,0,100
1697971717673,110,4310,172,0,100
1697971717789,110,4310,172,0,100
1697971717905,110,4310,172,0,100
1697971718019,110,4310,172,0,100
1697971718133,110,4310,172,0,100
1697971718259,110,4310,172,0,100
1697971718374,110,4310,172,0,100
1697971718487,110,4310,172,0,100
1697971718599,110,4310,172,0,100
1697971718714,110,4310,172,0,100
1697971718834,110,4310,172,0,100
1697971718957,110,4310,172,0,100
1697971719074,110,4310,172,0,100
1697971719198,110,4310,172,0,100
1697971719316,110,4310,172,0,100
1697971719433,110,4310,172,0,100
1697971719552,110,4310,172,0,100
1697971719674,110,4310,172,0,100
1697971719793,110,4310,172,0,100
1697971719912,110,4310,172,0,100
1697971720029,110,4310,172,0,100
1697971720147,110,4310,172,0,100
1697971720268,110,4310,172,0,100
1697971720382,110,4310,172,0,100
1697971720494,110,4310,172,0,100
1697971720609,110,4310,172,0,100
1697971720719,110,4310,172,0,100
1697971720834,110,4310,172,0,100
1697971720949,110,4310,172,0,100
1697971721071,110,4310,172,0,100
1697971721184,110,4310,172,0,100
1697971721296,110,4310,172,0,100
1697971721419,110,4310,172,0,100
1697971721535,110,4310,172,0,100
1697971721659,110,4310,172,0,100
1697971721774,110,4310,172,0,100
1697971721891,110,4310,172,0,100
1697971722005,110,4310,172,0,100
1697971722123,110,4310,172,0,100
1697971722235,110,4310,172,0,100
1697971722344,110,4310,172,0,100
1697971722461,110,4310,172,0,100
1697971722577,110,4310,172,0,100
1697971722691,110,4310,172,0,100
1697971722805,110,4310,172,0,100
1697971722920,110,4310,172,0,100
1697971723034,110,4310,172,0,100
1697971723152,110,4310,172,0,100
1697971723264,110,4310,172,0,100
1697971723379,110,4310,172,0,100
1697971723499,110,4310,172,0,100
1697971723615,110,4310,172,0,100
1697971723731,110,4310,172,0,100
1697971723841,110,4310,172,0,100
1697971723952,110,4310,172,0,100
1697971724067,110,4310,172,0,100
1697971724182,110,4310,172,0,100
1697971724297,166,4310,138,0,100
1697971724407,166,4310,138,0,100
1697971724524,166,4310,138,0,100
1697971724637,166,4310,138,0,100
1697971724749,166,4310,138,0,100
1697971724862,166,4310,138,0,100
1697971724975,166,4310,138,0,100
1697971725089,166,4310,138,0,100
1697971725203,166,4310,138,0,100
