device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy_trapz,Energy simple (J),Avg power (W)
j7duo2,org-mozilla-fenix,0,100,0,-2.634726225,4313,1.998559078,0.175696425,0.174959396,0.000582311
j7duo2,org-mozilla-fenix,1,100,0,33.9001442,4313,33.03388609,0.170424374,0.169784368,0.000565149
j7duo2,org-mozilla-fenix,2,100,0,31.16762797,4313,32.12725306,0.181543499,0.180544366,0.000600945
j7duo2,org-mozilla-fenix,3,100,0,28.40532757,4313,10.84809215,0.156126917,0.155457236,0.000517613
j7duo2,org-mozilla-fenix,4,100,0,22.86848724,4313,23.22062522,0.162695409,0.161873643,0.000538744
j7duo2,org-mozilla-fenix,5,100,0,29.06522523,4313,24.49009009,0.181633104,0.180907712,0.000602455
j7duo2,org-mozilla-fenix,6,100,0,41.0259366,4313,19.54286744,0.141698774,0.141087947,0.000469826
j7duo2,org-mozilla-fenix,7,100,0,-47.94417135,4313,-38.65519663,0.136201387,0.135999458,0.000452883
j7duo2,org-mozilla-fenix,8,100,0,26.96754418,4313,19.32636134,0.177543675,0.176821115,0.000588388
j7duo2,org-mozilla-fenix,9,100,0,24.91959799,4313,13.35463029,0.147252369,0.146575373,0.000487802
j7duo2,org-mozilla-fenix,0,100,0,-88.96481876,4160,-88.04690832,0.139799169,0.140081934,0.000465237
j7duo2,org-mozilla-fenix,1,100,0,-93.21595745,4160,-86.79574468,0.1260864,0.126117834,0.000418301
j7duo2,org-mozilla-fenix,2,100,0,-76.56415695,4160,-46.10922587,0.115339311,0.115023813,0.000381851
j7duo2,org-mozilla-fenix,3,100,0,-113.4382979,4160,-117.1595745,0.149794521,0.149277912,0.000496164
j7duo2,org-mozilla-fenix,4,100,0,-155.8702128,4160,-128.1925532,0.19318056,0.193413384,0.000642149
j7duo2,org-mozilla-fenix,5,100,0,-92.15026455,4160,-108.3037037,0.142017846,0.141238785,0.000469182
j7duo2,org-mozilla-fenix,6,100,0,-81.79449153,4160,-128.6705508,0.189123219,0.18871644,0.000626648
j7duo2,org-mozilla-fenix,7,100,0,-51.81223629,4160,-19.03059072,0.121018509,0.120569373,0.000400804
j7duo2,org-mozilla-fenix,8,100,0,-91.87209302,4160,-129.9386892,0.168581823,0.167173125,0.000555013
j7duo2,org-mozilla-fenix,9,100,0,-162.6542553,4160,-176.5021277,0.270014571,0.27018381,0.000896489
