Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1697481403305,239,4313,253,0,100
1697481403414,239,4313,253,0,100
1697481403522,239,4313,253,0,100
1697481403630,239,4313,253,0,100
1697481403737,239,4313,253,0,100
1697481403847,239,4313,253,0,100
1697481403955,239,4313,253,0,100
1697481404063,239,4313,253,0,100
1697481404172,239,4313,253,0,100
1697481404281,239,4313,253,0,100
1697481404390,239,4313,253,0,100
1697481404499,239,4313,253,0,100
1697481404607,239,4313,253,0,100
1697481404715,239,4313,253,0,100
1697481404824,239,4313,253,0,100
1697481404943,239,4313,253,0,100
1697481405062,239,4313,253,0,100
1697481405180,239,4313,253,0,100
1697481405298,239,4313,253,0,100
1697481405422,239,4313,253,0,100
1697481405538,239,4313,253,0,100
1697481405648,239,4313,253,0,100
1697481405765,239,4313,253,0,100
1697481405879,239,4313,253,0,100
1697481405991,239,4313,253,0,100
1697481406101,239,4313,253,0,100
1697481406210,239,4313,253,0,100
1697481406328,239,4313,253,0,100
1697481406444,239,4313,253,0,100
1697481406556,239,4313,253,0,100
1697481406673,239,4313,253,0,100
1697481406783,239,4313,253,0,100
1697481406895,239,4313,253,0,100
1697481407004,239,4313,253,0,100
1697481407112,239,4313,253,0,100
1697481407223,239,4313,253,0,100
1697481407333,239,4313,253,0,100
1697481407443,239,4313,253,0,100
1697481407558,239,4313,253,0,100
1697481407674,239,4313,253,0,100
1697481407782,239,4313,253,0,100
1697481407890,239,4313,253,0,100
1697481408000,239,4313,253,0,100
1697481408116,239,4313,253,0,100
1697481408225,239,4313,253,0,100
1697481408339,239,4313,253,0,100
1697481408448,239,4313,253,0,100
1697481408557,239,4313,253,0,100
1697481408665,239,4313,253,0,100
1697481408773,239,4313,253,0,100
1697481408881,239,4313,253,0,100
1697481408993,239,4313,253,0,100
1697481409106,239,4313,253,0,100
1697481409220,239,4313,253,0,100
1697481409327,239,4313,253,0,100
1697481409437,239,4313,253,0,100
1697481409546,239,4313,253,0,100
1697481409655,239,4313,253,0,100
1697481409764,239,4313,253,0,100
1697481409873,239,4313,253,0,100
1697481409984,239,4313,253,0,100
1697481410100,239,4313,253,0,100
1697481410210,239,4313,253,0,100
1697481410328,239,4313,253,0,100
1697481410441,239,4313,253,0,100
1697481410548,239,4313,253,0,100
1697481410658,239,4313,253,0,100
1697481410765,239,4313,253,0,100
1697481410873,239,4313,253,0,100
1697481410981,239,4313,253,0,100
1697481411090,-37,4313,-20,0,100
1697481411196,-37,4313,-20,0,100
1697481411306,-37,4313,-20,0,100
1697481411416,-37,4313,-20,0,100
1697481411530,-37,4313,-20,0,100
1697481411641,-37,4313,-20,0,100
1697481411751,-37,4313,-20,0,100
1697481411862,-37,4313,-20,0,100
1697481411976,-37,4313,-20,0,100
1697481412086,-37,4313,-20,0,100
1697481412194,-37,4313,-20,0,100
1697481412309,-37,4313,-20,0,100
1697481412416,-37,4313,-20,0,100
1697481412528,-37,4313,-20,0,100
1697481412641,-37,4313,-20,0,100
1697481412753,-37,4313,-20,0,100
1697481412861,-37,4313,-20,0,100
1697481412970,-37,4313,-20,0,100
1697481413077,-37,4313,-20,0,100
1697481413185,-37,4313,-20,0,100
1697481413295,-37,4313,-20,0,100
1697481413405,-37,4313,-20,0,100
1697481413515,-37,4313,-20,0,100
1697481413624,-37,4313,-20,0,100
1697481413732,-37,4313,-20,0,100
1697481413841,-37,4313,-20,0,100
1697481413949,-37,4313,-20,0,100
1697481414058,-37,4313,-20,0,100
1697481414166,-37,4313,-20,0,100
1697481414276,-37,4313,-20,0,100
1697481414383,-37,4313,-20,0,100
1697481414492,-37,4313,-20,0,100
1697481414606,-37,4313,-20,0,100
1697481414715,-37,4313,-20,0,100
1697481414822,-37,4313,-20,0,100
1697481414930,-37,4313,-20,0,100
1697481415039,-37,4313,-20,0,100
1697481415146,-37,4313,-20,0,100
1697481415253,-37,4313,-20,0,100
1697481415361,-37,4313,-20,0,100
1697481415468,-37,4313,-20,0,100
1697481415576,-37,4313,-20,0,100
1697481415684,-37,4313,-20,0,100
1697481415792,-37,4313,-20,0,100
1697481415903,-37,4313,-20,0,100
1697481416014,-37,4313,-20,0,100
1697481416126,-37,4313,-20,0,100
1697481416233,-37,4313,-20,0,100
1697481416342,-37,4313,-20,0,100
1697481416449,-37,4313,-20,0,100
1697481416558,-37,4313,-20,0,100
1697481416670,-37,4313,-20,0,100
1697481416783,-37,4313,-20,0,100
1697481416890,-37,4313,-20,0,100
1697481416997,-37,4313,-20,0,100
1697481417106,-37,4313,-20,0,100
1697481417214,-37,4313,-20,0,100
1697481417325,-37,4313,-20,0,100
1697481417435,-37,4313,-20,0,100
1697481417545,-37,4313,-20,0,100
1697481417653,-37,4313,-20,0,100
1697481417761,-37,4313,-20,0,100
1697481417867,-37,4313,-20,0,100
1697481417977,-37,4313,-20,0,100
1697481418084,-37,4313,-20,0,100
1697481418193,-37,4313,-20,0,100
1697481418300,-37,4313,-20,0,100
1697481418410,-37,4313,-20,0,100
1697481418520,-37,4313,-20,0,100
1697481418631,-37,4313,-20,0,100
1697481418740,-37,4313,-20,0,100
1697481418848,-37,4313,-20,0,100
1697481418957,-37,4313,-20,0,100
1697481419064,-37,4313,-20,0,100
1697481419172,-37,4313,-20,0,100
1697481419280,-37,4313,-20,0,100
1697481419389,-37,4313,-20,0,100
1697481419498,-37,4313,-20,0,100
1697481419606,-37,4313,-20,0,100
1697481419714,-37,4313,-20,0,100
1697481419823,-37,4313,-20,0,100
1697481419936,-37,4313,-20,0,100
1697481420048,-37,4313,-20,0,100
1697481420154,-37,4313,-20,0,100
1697481420263,-37,4313,-20,0,100
1697481420370,-37,4313,-20,0,100
1697481420481,-37,4313,-20,0,100
1697481420588,-37,4313,-20,0,100
1697481420695,-37,4313,-20,0,100
1697481420802,-37,4313,-20,0,100
1697481420911,-37,4313,-20,0,100
1697481421019,-37,4313,-20,0,100
1697481421129,-37,4313,-20,0,100
1697481421237,-37,4313,-20,0,100
1697481421345,-37,4313,-20,0,100
