Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1697553324836,201,4308,281,0,100
1697553324946,201,4308,281,0,100
1697553325056,201,4308,281,0,100
1697553325164,201,4308,281,0,100
1697553325274,201,4308,281,0,100
1697553325383,201,4308,281,0,100
1697553325506,201,4308,281,0,100
1697553325614,201,4308,281,0,100
1697553325723,201,4308,281,0,100
1697553325844,201,4308,281,0,100
1697553325954,201,4308,281,0,100
1697553326067,201,4308,281,0,100
1697553326177,201,4308,281,0,100
1697553326293,201,4308,281,0,100
1697553326402,201,4308,281,0,100
1697553326510,201,4308,281,0,100
1697553326622,201,4308,281,0,100
1697553326730,201,4308,281,0,100
1697553326840,201,4308,281,0,100
1697553326959,201,4308,281,0,100
1697553327070,201,4308,281,0,100
1697553327179,201,4308,281,0,100
1697553327286,201,4308,281,0,100
1697553327397,201,4308,281,0,100
1697553327509,201,4308,281,0,100
1697553327616,201,4308,281,0,100
1697553327727,201,4308,281,0,100
1697553327834,201,4308,281,0,100
1697553327943,201,4308,281,0,100
1697553328051,201,4308,281,0,100
1697553328167,201,4308,281,0,100
1697553328281,201,4308,281,0,100
1697553328391,201,4308,281,0,100
1697553328505,201,4308,281,0,100
1697553328623,201,4308,281,0,100
1697553328741,201,4308,281,0,100
1697553328849,201,4308,281,0,100
1697553328957,201,4308,281,0,100
1697553329064,201,4308,281,0,100
1697553329172,201,4308,281,0,100
1697553329279,201,4308,281,0,100
1697553329389,201,4308,281,0,100
1697553329496,201,4308,281,0,100
1697553329610,201,4308,281,0,100
1697553329728,201,4308,281,0,100
1697553329841,201,4308,281,0,100
1697553329965,201,4308,281,0,100
1697553330076,201,4308,281,0,100
1697553330191,201,4308,281,0,100
1697553330298,201,4308,281,0,100
1697553330406,201,4308,281,0,100
1697553330519,201,4308,281,0,100
1697553330632,201,4308,281,0,100
1697553330740,201,4308,281,0,100
1697553330849,201,4308,281,0,100
1697553330956,201,4308,281,0,100
1697553331064,201,4308,281,0,100
1697553331181,201,4308,281,0,100
1697553331290,-84,4308,-135,0,100
1697553331403,-84,4308,-135,0,100
1697553331512,-84,4308,-135,0,100
1697553331627,-84,4308,-135,0,100
1697553331735,-84,4308,-135,0,100
1697553331857,-84,4308,-135,0,100
1697553331964,-84,4308,-135,0,100
1697553332076,-84,4308,-135,0,100
1697553332185,-84,4308,-135,0,100
1697553332296,-84,4308,-135,0,100
1697553332409,-84,4308,-135,0,100
1697553332517,-84,4308,-135,0,100
1697553332624,-84,4308,-135,0,100
1697553332734,-84,4308,-135,0,100
1697553332842,-84,4308,-135,0,100
1697553332949,-84,4308,-135,0,100
1697553333078,-84,4308,-135,0,100
1697553333200,-84,4308,-135,0,100
1697553333310,-84,4308,-135,0,100
1697553333420,-84,4308,-135,0,100
1697553333531,-84,4308,-135,0,100
1697553333645,-84,4308,-135,0,100
1697553333754,-84,4308,-135,0,100
1697553333862,-84,4308,-135,0,100
1697553333969,-84,4308,-135,0,100
1697553334079,-84,4308,-135,0,100
1697553334192,-84,4308,-135,0,100
1697553334300,-84,4308,-135,0,100
1697553334413,-84,4308,-135,0,100
1697553334527,-84,4308,-135,0,100
1697553334635,-84,4308,-135,0,100
1697553334741,-84,4308,-135,0,100
1697553334849,-84,4308,-135,0,100
1697553334955,-84,4308,-135,0,100
1697553335063,-84,4308,-135,0,100
1697553335173,-84,4308,-135,0,100
1697553335288,-84,4308,-135,0,100
1697553335398,-84,4308,-135,0,100
1697553335504,-84,4308,-135,0,100
1697553335611,-84,4308,-135,0,100
1697553335717,-84,4308,-135,0,100
1697553335823,-84,4308,-135,0,100
1697553335930,-84,4308,-135,0,100
1697553336037,-84,4308,-135,0,100
1697553336143,-84,4308,-135,0,100
1697553336251,-84,4308,-135,0,100
1697553336357,-84,4308,-135,0,100
1697553336467,-84,4308,-135,0,100
1697553336574,-84,4308,-135,0,100
1697553336683,-84,4308,-135,0,100
1697553336790,-84,4308,-135,0,100
1697553336899,-84,4308,-135,0,100
1697553337007,-84,4308,-135,0,100
1697553337115,-84,4308,-135,0,100
1697553337223,-84,4308,-135,0,100
1697553337332,-84,4308,-135,0,100
1697553337439,-84,4308,-135,0,100
1697553337546,-84,4308,-135,0,100
1697553337653,-84,4308,-135,0,100
1697553337759,-84,4308,-135,0,100
1697553337872,-84,4308,-135,0,100
1697553337980,-84,4308,-135,0,100
1697553338087,-84,4308,-135,0,100
1697553338195,-84,4308,-135,0,100
1697553338302,-84,4308,-135,0,100
1697553338414,-84,4308,-135,0,100
1697553338522,-84,4308,-135,0,100
1697553338638,-84,4308,-135,0,100
1697553338747,-84,4308,-135,0,100
1697553338855,-84,4308,-135,0,100
1697553338964,-84,4308,-135,0,100
1697553339089,-84,4308,-135,0,100
1697553339198,-84,4308,-135,0,100
1697553339306,-84,4308,-135,0,100
1697553339415,-84,4308,-135,0,100
1697553339528,-84,4308,-135,0,100
1697553339635,-84,4308,-135,0,100
1697553339744,-84,4308,-135,0,100
1697553339852,-84,4308,-135,0,100
1697553339961,-84,4308,-135,0,100
1697553340070,-84,4308,-135,0,100
1697553340176,-84,4308,-135,0,100
1697553340284,-84,4308,-135,0,100
1697553340394,-84,4308,-135,0,100
1697553340502,-84,4308,-135,0,100
1697553340612,-84,4308,-135,0,100
1697553340720,-84,4308,-135,0,100
1697553340828,-84,4308,-135,0,100
1697553340935,-84,4308,-135,0,100
1697553341041,-84,4308,-135,0,100
1697553341150,-84,4308,-135,0,100
1697553341261,-84,4308,-135,0,100
1697553341375,-84,4308,-135,0,100
1697553341485,-84,4308,-135,0,100
1697553341592,-84,4308,-135,0,100
1697553341703,-84,4308,-135,0,100
1697553341810,-49,4308,-167,0,100
1697553341917,-49,4308,-167,0,100
1697553342024,-49,4308,-167,0,100
1697553342134,-49,4308,-167,0,100
1697553342244,-49,4308,-167,0,100
1697553342352,-49,4308,-167,0,100
1697553342460,-49,4308,-167,0,100
1697553342568,-49,4308,-167,0,100
1697553342676,-49,4308,-167,0,100
1697553342785,-49,4308,-167,0,100
1697553342893,-49,4308,-167,0,100
1697553343001,-49,4308,-167,0,100
1697553343117,-49,4308,-167,0,100
1697553343229,-49,4308,-167,0,100
1697553343339,-49,4308,-167,0,100
1697553343446,-49,4308,-167,0,100
1697553343554,-49,4308,-167,0,100
1697553343659,-49,4308,-167,0,100
1697553343764,-49,4308,-167,0,100
1697553343876,-49,4308,-167,0,100
1697553343982,-49,4308,-167,0,100
1697553344089,-49,4308,-167,0,100
1697553344196,-49,4308,-167,0,100
1697553344308,-49,4308,-167,0,100
1697553344415,-49,4308,-167,0,100
1697553344522,-49,4308,-167,0,100
1697553344632,-49,4308,-167,0,100
1697553344749,-49,4308,-167,0,100
1697553344856,-49,4308,-167,0,100
1697553344965,-49,4308,-167,0,100
1697553345073,-49,4308,-167,0,100
1697553345179,-49,4308,-167,0,100
1697553345289,-49,4308,-167,0,100
1697553345396,-49,4308,-167,0,100
1697553345504,-49,4308,-167,0,100
1697553345615,-49,4308,-167,0,100
1697553345730,-49,4308,-167,0,100
1697553345838,-49,4308,-167,0,100
1697553345945,-49,4308,-167,0,100
1697553346050,-49,4308,-167,0,100
1697553346157,-49,4308,-167,0,100
1697553346268,-49,4308,-167,0,100
1697553346376,-49,4308,-167,0,100
1697553346482,-49,4308,-167,0,100
1697553346590,-49,4308,-167,0,100
1697553346696,-49,4308,-167,0,100
1697553346802,-49,4308,-167,0,100
1697553346911,-49,4308,-167,0,100
1697553347017,-49,4308,-167,0,100
1697553347124,-49,4308,-167,0,100
1697553347230,-49,4308,-167,0,100
1697553347340,-49,4308,-167,0,100
1697553347449,-49,4308,-167,0,100
1697553347556,-49,4308,-167,0,100
1697553347665,-49,4308,-167,0,100
1697553347773,-49,4308,-167,0,100
1697553347893,-49,4308,-167,0,100
1697553348263,-49,4308,-167,0,100
1697553348369,-49,4308,-167,0,100
1697553348476,-49,4308,-167,0,100
1697553348582,-49,4308,-167,0,100
1697553348694,-49,4308,-167,0,100
1697553348799,-49,4308,-167,0,100
1697553348904,-49,4308,-167,0,100
1697553349011,-49,4308,-167,0,100
1697553349118,-49,4308,-167,0,100
1697553349224,-49,4308,-167,0,100
1697553349329,-49,4308,-167,0,100
1697553349434,-49,4308,-167,0,100
1697553349541,-49,4308,-167,0,100
1697553349648,-49,4308,-167,0,100
1697553349753,-49,4308,-167,0,100
1697553349860,-49,4308,-167,0,100
1697553349966,-49,4308,-167,0,100
1697553350084,-49,4308,-167,0,100
1697553350194,-49,4308,-167,0,100
1697553350299,-49,4308,-167,0,100
1697553350404,-49,4308,-167,0,100
1697553350511,-49,4308,-167,0,100
1697553350619,-49,4308,-167,0,100
1697553350728,-49,4308,-167,0,100
1697553350836,-49,4308,-167,0,100
1697553350944,-49,4308,-167,0,100
1697553351052,-49,4308,-167,0,100
