Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1697399991942,-334,4250,-191,0,100
1697399992053,-334,4250,-191,0,100
1697399992159,-334,4250,-191,0,100
1697399992269,-334,4250,-191,0,100
1697399992377,-334,4250,-191,0,100
1697399992501,-334,4250,-191,0,100
1697399992616,-334,4250,-191,0,100
1697399992736,-334,4250,-191,0,100
1697399992850,-334,4250,-191,0,100
1697399992958,-334,4250,-191,0,100
1697399993068,-334,4250,-191,0,100
1697399993179,-334,4250,-191,0,100
1697399993289,-334,4250,-191,0,100
1697399993399,-334,4250,-191,0,100
1697399993509,-334,4250,-191,0,100
1697399993622,-334,4250,-191,0,100
1697399993747,-334,4250,-191,0,100
1697399993867,-334,4250,-191,0,100
1697399993978,-334,4250,-191,0,100
1697399994094,-334,4250,-191,0,100
1697399994208,-334,4250,-191,0,100
1697399994326,-134,4250,-10,0,100
1697399994446,-134,4250,-10,0,100
1697399994554,-134,4250,-10,0,100
1697399994668,-134,4250,-10,0,100
1697399994801,-134,4250,-10,0,100
1697399994914,-134,4250,-10,0,100
1697399995026,-134,4250,-10,0,100
1697399995147,-134,4250,-10,0,100
1697399995264,-134,4250,-10,0,100
1697399995380,-134,4250,-10,0,100
1697399995501,-134,4250,-10,0,100
1697399995610,-134,4250,-10,0,100
1697399995727,-134,4250,-10,0,100
1697399995852,-134,4250,-10,0,100
1697399995969,-134,4250,-10,0,100
1697399996085,-134,4250,-10,0,100
1697399996202,-134,4250,-10,0,100
1697399996311,-134,4250,-10,0,100
1697399996420,-134,4250,-10,0,100
1697399996527,-134,4250,-10,0,100
1697399996634,-134,4250,-10,0,100
1697399996753,-134,4250,-10,0,100
1697399996865,-134,4250,-10,0,100
1697399996976,-134,4250,-10,0,100
1697399997084,-134,4250,-10,0,100
1697399997192,-134,4250,-10,0,100
1697399997302,-134,4250,-10,0,100
1697399997414,-134,4250,-10,0,100
1697399997523,-134,4250,-10,0,100
1697399997637,-134,4250,-10,0,100
1697399997746,-134,4250,-10,0,100
1697399997854,-134,4250,-10,0,100
1697399997964,-134,4250,-10,0,100
1697399998075,-134,4250,-10,0,100
1697399998187,-134,4250,-10,0,100
1697399998303,-134,4250,-10,0,100
1697399998413,-134,4250,-10,0,100
1697399998729,-134,4250,-10,0,100
1697399998855,-134,4250,-10,0,100
1697399998970,-134,4250,-10,0,100
1697399999081,-134,4250,-10,0,100
1697399999195,-134,4250,-10,0,100
1697399999304,-134,4250,-10,0,100
1697399999420,-134,4250,-10,0,100
1697399999534,-134,4250,-10,0,100
1697399999648,-134,4250,-10,0,100
1697399999762,-134,4250,-10,0,100
1697399999879,-134,4250,-10,0,100
1697399999993,-134,4250,-10,0,100
1697400000103,-134,4250,-10,0,100
1697400000217,-134,4250,-10,0,100
1697400000330,-134,4250,-10,0,100
1697400000449,-134,4250,-10,0,100
1697400000563,-134,4250,-10,0,100
1697400000674,-134,4250,-10,0,100
1697400000786,-134,4250,-10,0,100
1697400000901,-134,4250,-10,0,100
1697400001016,-134,4250,-10,0,100
1697400001128,-134,4250,-10,0,100
1697400001244,-134,4250,-10,0,100
1697400001352,-134,4250,-10,0,100
1697400001461,-134,4250,-10,0,100
1697400001575,-134,4250,-10,0,100
1697400001683,-134,4250,-10,0,100
1697400001794,-134,4250,-10,0,100
1697400001909,-134,4250,-10,0,100
1697400002026,-134,4250,-10,0,100
1697400002136,-134,4250,-10,0,100
1697400002250,-134,4250,-10,0,100
1697400002364,-134,4250,-10,0,100
1697400002481,-134,4250,-10,0,100
1697400002596,-134,4250,-10,0,100
1697400002712,-134,4250,-10,0,100
1697400002822,-134,4250,-10,0,100
1697400002932,-134,4250,-10,0,100
1697400003041,-134,4250,-10,0,100
1697400003154,-134,4250,-10,0,100
1697400003271,-134,4250,-10,0,100
1697400003386,-134,4250,-10,0,100
1697400003501,-134,4250,-10,0,100
1697400003615,-134,4250,-10,0,100
1697400003730,-134,4250,-10,0,100
1697400003841,-134,4250,-10,0,100
1697400003954,-134,4250,-10,0,100
1697400004066,-134,4250,-10,0,100
1697400004181,-134,4250,-10,0,100
1697400004301,-134,4250,-10,0,100
1697400004416,-134,4250,-10,0,100
1697400004531,-134,4250,-10,0,100
1697400004646,-134,4250,-10,0,100
1697400004763,-134,4250,-10,0,100
1697400004874,76,4250,124,0,100
1697400004984,76,4250,124,0,100
1697400005100,76,4250,124,0,100
1697400005212,76,4250,124,0,100
1697400005345,76,4250,124,0,100
1697400005460,76,4250,124,0,100
1697400005573,76,4250,124,0,100
1697400005687,76,4250,124,0,100
1697400005801,76,4250,124,0,100
1697400005918,76,4250,124,0,100
1697400006032,76,4250,124,0,100
1697400006144,76,4250,124,0,100
1697400006254,76,4250,124,0,100
1697400006368,76,4250,124,0,100
1697400006485,76,4250,124,0,100
1697400006598,76,4250,124,0,100
1697400006720,76,4250,124,0,100
1697400006834,76,4250,124,0,100
1697400006950,76,4250,124,0,100
1697400007063,76,4250,124,0,100
1697400007176,76,4250,124,0,100
1697400007288,76,4250,124,0,100
1697400007401,76,4250,124,0,100
1697400007517,76,4250,124,0,100
1697400007631,76,4250,124,0,100
1697400007747,76,4250,124,0,100
1697400007859,76,4250,124,0,100
1697400007972,76,4250,124,0,100
1697400008085,76,4250,124,0,100
1697400008199,76,4250,124,0,100
1697400008315,76,4250,124,0,100
1697400008430,76,4250,124,0,100
1697400008551,76,4250,124,0,100
1697400008666,76,4250,124,0,100
1697400008785,76,4250,124,0,100
1697400008895,76,4250,124,0,100
1697400009010,76,4250,124,0,100
1697400009124,76,4250,124,0,100
1697400009238,76,4250,124,0,100
1697400009352,76,4250,124,0,100
1697400009467,76,4250,124,0,100
1697400009581,76,4250,124,0,100
1697400009696,76,4250,124,0,100
1697400009813,76,4250,124,0,100
1697400009926,76,4250,124,0,100
1697400010049,76,4250,124,0,100
1697400010161,76,4250,124,0,100
1697400010274,76,4250,124,0,100
1697400010392,76,4250,124,0,100
1697400010507,76,4250,124,0,100
1697400010621,76,4250,124,0,100
1697400010736,76,4250,124,0,100
1697400010851,76,4250,124,0,100
1697400010966,76,4250,124,0,100
1697400011082,76,4250,124,0,100
1697400011197,76,4250,124,0,100
1697400011308,76,4250,124,0,100
1697400011418,76,4250,124,0,100
1697400011531,76,4250,124,0,100
1697400011643,76,4250,124,0,100
1697400011755,76,4250,124,0,100
1697400011869,76,4250,124,0,100
1697400011986,76,4250,124,0,100
1697400012103,76,4250,124,0,100
1697400012218,76,4250,124,0,100
1697400012331,76,4250,124,0,100
1697400012445,76,4250,124,0,100
1697400012559,76,4250,124,0,100
1697400012674,76,4250,124,0,100
1697400012794,76,4250,124,0,100
1697400012912,76,4250,124,0,100
1697400013025,76,4250,124,0,100
1697400013145,76,4250,124,0,100
1697400013261,76,4250,124,0,100
1697400013376,76,4250,124,0,100
1697400013487,76,4250,124,0,100
1697400013604,76,4250,124,0,100
1697400013725,76,4250,124,0,100
1697400013838,76,4250,124,0,100
1697400013953,76,4250,124,0,100
1697400014067,76,4250,124,0,100
1697400014181,76,4250,124,0,100
1697400014297,76,4250,124,0,100
1697400014409,76,4250,124,0,100
1697400014527,76,4250,124,0,100
1697400014642,76,4250,124,0,100
1697400014755,76,4250,124,0,100
1697400014867,76,4250,124,0,100
1697400014976,76,4250,124,0,100
1697400015090,76,4250,124,0,100
1697400015205,76,4250,124,0,100
1697400015319,76,4250,124,0,100
1697400015429,196,4250,178,0,100
1697400015545,196,4250,178,0,100
1697400015662,196,4250,178,0,100
1697400015774,196,4250,178,0,100
1697400015888,196,4250,178,0,100
1697400015999,196,4250,178,0,100
1697400016116,196,4250,178,0,100
1697400016229,196,4250,178,0,100
1697400016341,196,4250,178,0,100
1697400016455,196,4250,178,0,100
1697400016567,196,4250,178,0,100
1697400016680,196,4250,178,0,100
1697400016789,196,4250,178,0,100
1697400016897,196,4250,178,0,100
1697400017024,196,4250,178,0,100
1697400017138,196,4250,178,0,100
1697400017249,196,4250,178,0,100
1697400017365,196,4250,178,0,100
1697400017479,196,4250,178,0,100
1697400017591,196,4250,178,0,100
1697400017708,196,4250,178,0,100
1697400017821,196,4250,178,0,100
1697400017935,196,4250,178,0,100
1697400018049,196,4250,178,0,100
1697400018164,196,4250,178,0,100
1697400018277,196,4250,178,0,100
1697400018391,196,4250,178,0,100
1697400018502,196,4250,178,0,100
1697400018615,196,4250,178,0,100
1697400018729,196,4250,178,0,100
1697400018841,196,4250,178,0,100
1697400018953,196,4250,178,0,100
1697400019067,196,4250,178,0,100
1697400019180,196,4250,178,0,100
1697400019292,196,4250,178,0,100
1697400019402,196,4250,178,0,100
1697400019515,196,4250,178,0,100
1697400019627,196,4250,178,0,100
1697400019737,196,4250,178,0,100
1697400019863,196,4250,178,0,100
1697400019972,196,4250,178,0,100
1697400020086,196,4250,178,0,100
1697400020198,196,4250,178,0,100
1697400020312,196,4250,178,0,100
1697400020424,196,4250,178,0,100
1697400020534,196,4250,178,0,100
1697400020648,196,4250,178,0,100
1697400020760,196,4250,178,0,100
1697400020871,196,4250,178,0,100
1697400020982,196,4250,178,0,100
1697400021094,196,4250,178,0,100
1697400021204,196,4250,178,0,100
1697400021316,196,4250,178,0,100
1697400021433,196,4250,178,0,100
1697400021548,196,4250,178,0,100
1697400021662,196,4250,178,0,100
1697400021774,196,4250,178,0,100
1697400021885,196,4250,178,0,100
1697400021997,196,4250,178,0,100
1697400022112,196,4250,178,0,100
1697400022219,196,4250,178,0,100
1697400022331,196,4250,178,0,100
1697400022444,196,4250,178,0,100
1697400022556,196,4250,178,0,100
1697400022672,196,4250,178,0,100
1697400022786,196,4250,178,0,100
1697400022896,196,4250,178,0,100
1697400023004,196,4250,178,0,100
1697400023116,196,4250,178,0,100
1697400023229,196,4250,178,0,100
1697400023339,196,4250,178,0,100
1697400023448,196,4250,178,0,100
1697400023558,196,4250,178,0,100
1697400023670,196,4250,178,0,100
1697400023782,196,4250,178,0,100
1697400023895,196,4250,178,0,100
1697400024012,196,4250,178,0,100
1697400024127,196,4250,178,0,100
1697400024243,196,4250,178,0,100
1697400024354,196,4250,178,0,100
1697400024466,196,4250,178,0,100
1697400024577,196,4250,178,0,100
1697400024689,196,4250,178,0,100
1697400024805,196,4250,178,0,100
1697400024922,196,4250,178,0,100
1697400025036,196,4250,178,0,100
1697400025144,196,4250,178,0,100
1697400025252,196,4250,178,0,100
1697400025363,196,4250,178,0,100
