Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1697402896094,195,4314,207,0,100
1697402896205,195,4314,207,0,100
1697402896312,195,4314,207,0,100
1697402896419,195,4314,207,0,100
1697402896527,195,4314,207,0,100
1697402896636,195,4314,207,0,100
1697402896748,195,4314,207,0,100
1697402896857,195,4314,207,0,100
1697402896967,195,4314,207,0,100
1697402897083,195,4314,207,0,100
1697402897193,195,4314,207,0,100
1697402897305,195,4314,207,0,100
1697402897415,195,4314,207,0,100
1697402897524,195,4314,207,0,100
1697402897633,195,4314,207,0,100
1697402897742,195,4314,207,0,100
1697402897852,195,4314,207,0,100
1697402897970,195,4314,207,0,100
1697402898096,195,4314,207,0,100
1697402898212,195,4314,207,0,100
1697402898323,195,4314,207,0,100
1697402898434,195,4314,207,0,100
1697402898551,195,4314,207,0,100
1697402898660,195,4314,207,0,100
1697402898767,195,4314,207,0,100
1697402898876,195,4314,207,0,100
1697402898992,195,4314,207,0,100
1697402899110,195,4314,207,0,100
1697402899226,195,4314,207,0,100
1697402899343,195,4314,207,0,100
1697402899460,195,4314,207,0,100
1697402899577,195,4314,207,0,100
1697402899687,195,4314,207,0,100
1697402899797,195,4314,207,0,100
1697402899915,195,4314,207,0,100
1697402900028,195,4314,207,0,100
1697402900137,195,4314,207,0,100
1697402900251,195,4314,207,0,100
1697402900359,195,4314,207,0,100
1697402900468,195,4314,207,0,100
1697402900580,195,4314,207,0,100
1697402900690,195,4314,207,0,100
1697402900798,195,4314,207,0,100
1697402900913,195,4314,207,0,100
1697402901023,195,4314,207,0,100
1697402901132,195,4314,207,0,100
1697402901239,195,4314,207,0,100
1697402901350,195,4314,207,0,100
1697402901457,195,4314,207,0,100
1697402901568,195,4314,207,0,100
1697402901679,195,4314,207,0,100
1697402901790,195,4314,207,0,100
1697402901904,195,4314,207,0,100
1697402902016,195,4314,207,0,100
1697402902130,195,4314,207,0,100
1697402902242,195,4314,207,0,100
1697402902353,195,4314,207,0,100
1697402902466,195,4314,207,0,100
1697402902582,195,4314,207,0,100
1697402902691,195,4314,207,0,100
1697402902800,195,4314,207,0,100
