datetime,cpu,mem,,
Sun Oct 22 15:47:27 GMT 2023,3.1,178546,,194592.1972
Sun Oct 22 15:47:27 GMT 2023,23,193583,,
Sun Oct 22 15:47:28 GMT 2023,23,194053,,
Sun Oct 22 15:47:29 GMT 2023,23,195243,,
Sun Oct 22 15:47:29 GMT 2023,23,196580,,
Sun Oct 22 15:47:30 GMT 2023,23,199642,,
Sun Oct 22 15:47:31 GMT 2023,23,216259,,
Sun Oct 22 15:47:32 GMT 2023,23,217695,,
Sun Oct 22 15:47:33 GMT 2023,23,217475,,
Sun Oct 22 15:47:33 GMT 2023,66,217921,,
Sun Oct 22 15:47:34 GMT 2023,66,217585,,
Sun Oct 22 15:47:35 GMT 2023,66,213993,,
Sun Oct 22 15:47:36 GMT 2023,66,214619,,
Sun Oct 22 15:47:37 GMT 2023,66,213983,,
Sun Oct 22 15:47:38 GMT 2023,66,209919,,
Sun Oct 22 15:47:39 GMT 2023,66,206484,,
Sun Oct 22 15:47:40 GMT 2023,78,204379,,
Sun Oct 22 15:47:40 GMT 2023,78,195683,,
Sun Oct 22 15:47:41 GMT 2023,78,195709,,
Sun Oct 22 15:47:42 GMT 2023,78,195769,,
Sun Oct 22 15:47:42 GMT 2023,78,196995,,
Sun Oct 22 15:47:43 GMT 2023,78,195807,,
Sun Oct 22 15:47:44 GMT 2023,78,194620,,
Sun Oct 22 15:47:44 GMT 2023,78,194744,,
Sun Oct 22 15:47:45 GMT 2023,78,194795,,
Sun Oct 22 15:47:46 GMT 2023,61,194845,,
Sun Oct 22 15:47:47 GMT 2023,61,192139,,
Sun Oct 22 15:47:47 GMT 2023,61,191563,,
Sun Oct 22 15:47:48 GMT 2023,61,191640,,
Sun Oct 22 15:47:49 GMT 2023,61,194365,,
Sun Oct 22 15:47:49 GMT 2023,61,192202,,
Sun Oct 22 15:47:50 GMT 2023,61,191946,,
Sun Oct 22 15:47:51 GMT 2023,61,192049,,
Sun Oct 22 15:47:51 GMT 2023,57,192072,,
Sun Oct 22 15:47:52 GMT 2023,57,192128,,
Sun Oct 22 15:47:53 GMT 2023,57,192173,,
Sun Oct 22 15:47:53 GMT 2023,57,192225,,
Sun Oct 22 15:47:54 GMT 2023,57,192232,,
Sun Oct 22 15:47:55 GMT 2023,57,193052,,
Sun Oct 22 15:47:56 GMT 2023,57,192793,,
Sun Oct 22 15:47:56 GMT 2023,57,192657,,
Sun Oct 22 15:47:57 GMT 2023,57,192450,,
Sun Oct 22 15:47:58 GMT 2023,52,192487,,
Sun Oct 22 15:47:58 GMT 2023,52,192613,,
Sun Oct 22 15:47:59 GMT 2023,52,192648,,
Sun Oct 22 15:48:00 GMT 2023,52,192689,,
Sun Oct 22 15:48:01 GMT 2023,52,194538,,
Sun Oct 22 15:48:01 GMT 2023,52,193041,,
Sun Oct 22 15:48:02 GMT 2023,52,192812,,
Sun Oct 22 15:48:03 GMT 2023,52,192847,,
Sun Oct 22 15:48:03 GMT 2023,52,192900,,
Sun Oct 22 15:48:04 GMT 2023,51,192936,,
Sun Oct 22 15:48:04 GMT 2023,51,192996,,
Sun Oct 22 15:48:05 GMT 2023,51,193026,,
Sun Oct 22 15:48:06 GMT 2023,51,193063,,
Sun Oct 22 15:48:06 GMT 2023,51,193072,,
Sun Oct 22 15:48:07 GMT 2023,51,195446,,
Sun Oct 22 15:48:08 GMT 2023,51,193596,,
Sun Oct 22 15:48:08 GMT 2023,51,193235,,
Sun Oct 22 15:48:09 GMT 2023,50,193262,,
Sun Oct 22 15:48:10 GMT 2023,50,193252,,
Sun Oct 22 15:48:10 GMT 2023,50,193103,,
Sun Oct 22 15:48:11 GMT 2023,50,193162,,
Sun Oct 22 15:48:12 GMT 2023,50,193208,,
Sun Oct 22 15:48:12 GMT 2023,50,195131,,
Sun Oct 22 15:48:13 GMT 2023,50,193599,,
Sun Oct 22 15:48:14 GMT 2023,50,193356,,
Sun Oct 22 15:48:14 GMT 2023,50,193388,,
Sun Oct 22 15:48:15 GMT 2023,50,193447,,
Sun Oct 22 15:48:16 GMT 2023,51,193487,,
Sun Oct 22 15:48:16 GMT 2023,51,193531,,
Sun Oct 22 15:48:17 GMT 2023,51,194276,,
Sun Oct 22 15:48:18 GMT 2023,51,194113,,
Sun Oct 22 15:48:18 GMT 2023,51,193696,,
Sun Oct 22 15:48:19 GMT 2023,51,193516,,
Sun Oct 22 15:48:20 GMT 2023,51,192737,,
Sun Oct 22 15:48:20 GMT 2023,51,192763,,
Sun Oct 22 15:48:21 GMT 2023,51,192784,,
Sun Oct 22 15:48:22 GMT 2023,51,192823,,
Sun Oct 22 15:48:22 GMT 2023,51,193174,,
Sun Oct 22 15:48:23 GMT 2023,51,193620,,
Sun Oct 22 15:48:24 GMT 2023,51,193407,,
Sun Oct 22 15:48:24 GMT 2023,51,193442,,
Sun Oct 22 15:48:25 GMT 2023,51,192272,,
Sun Oct 22 15:48:26 GMT 2023,51,192249,,
Sun Oct 22 15:48:26 GMT 2023,51,192366,,
Sun Oct 22 15:48:27 GMT 2023,51,191887,,
Sun Oct 22 15:48:27 GMT 2023,48,194628,,
Sun Oct 22 15:48:28 GMT 2023,48,192215,,
Sun Oct 22 15:48:29 GMT 2023,48,191827,,
Sun Oct 22 15:48:30 GMT 2023,48,191863,,
Sun Oct 22 15:48:30 GMT 2023,48,191913,,
Sun Oct 22 15:48:31 GMT 2023,48,191960,,
Sun Oct 22 15:48:32 GMT 2023,48,192041,,
Sun Oct 22 15:48:32 GMT 2023,48,192078,,
Sun Oct 22 15:48:33 GMT 2023,48,194002,,
Sun Oct 22 15:48:34 GMT 2023,43,192523,,
Sun Oct 22 15:48:34 GMT 2023,43,192289,,
Sun Oct 22 15:48:35 GMT 2023,43,192356,,
Sun Oct 22 15:48:36 GMT 2023,43,192397,,
Sun Oct 22 15:48:36 GMT 2023,43,192437,,
Sun Oct 22 15:48:37 GMT 2023,43,192501,,
Sun Oct 22 15:48:38 GMT 2023,43,192569,,
Sun Oct 22 15:48:39 GMT 2023,43,192622,,
Sun Oct 22 15:48:39 GMT 2023,42,192658,,
Sun Oct 22 15:48:40 GMT 2023,42,191593,,
Sun Oct 22 15:48:41 GMT 2023,42,191532,,
Sun Oct 22 15:48:42 GMT 2023,42,191598,,
Sun Oct 22 15:48:42 GMT 2023,42,191631,,
Sun Oct 22 15:48:43 GMT 2023,42,191680,,
Sun Oct 22 15:48:44 GMT 2023,42,191789,,
