datetime,cpu,mem,,
Sun Oct 22 15:11:15 GMT 2023,24,153424,,147443.443
Sun Oct 22 15:11:16 GMT 2023,24,180952,,
Sun Oct 22 15:11:16 GMT 2023,24,188729,,
Sun Oct 22 15:11:17 GMT 2023,24,189678,,
Sun Oct 22 15:11:18 GMT 2023,24,217371,,
Sun Oct 22 15:11:19 GMT 2023,24,206133,,
Sun Oct 22 15:11:20 GMT 2023,24,206828,,
Sun Oct 22 15:11:20 GMT 2023,24,207044,,
Sun Oct 22 15:11:21 GMT 2023,24,206707,,
Sun Oct 22 15:11:21 GMT 2023,24,204828,,
Sun Oct 22 15:11:22 GMT 2023,24,173444,,
Sun Oct 22 15:11:23 GMT 2023,24,164047,,
Sun Oct 22 15:11:24 GMT 2023,24,164200,,
Sun Oct 22 15:11:25 GMT 2023,24,157697,,
Sun Oct 22 15:11:25 GMT 2023,24,157272,,
Sun Oct 22 15:11:26 GMT 2023,24,157174,,
Sun Oct 22 15:11:27 GMT 2023,24,157294,,
Sun Oct 22 15:11:27 GMT 2023,24,157512,,
Sun Oct 22 15:11:28 GMT 2023,24,157123,,
Sun Oct 22 15:11:29 GMT 2023,24,155166,,
Sun Oct 22 15:11:29 GMT 2023,24,153907,,
Sun Oct 22 15:11:30 GMT 2023,24,152904,,
Sun Oct 22 15:11:31 GMT 2023,24,151349,,
Sun Oct 22 15:11:31 GMT 2023,24,151439,,
Sun Oct 22 15:11:32 GMT 2023,24,151500,,
Sun Oct 22 15:11:33 GMT 2023,24,151478,,
Sun Oct 22 15:11:33 GMT 2023,24,151534,,
Sun Oct 22 15:11:34 GMT 2023,24,151527,,
Sun Oct 22 15:11:35 GMT 2023,24,151357,,
Sun Oct 22 15:11:36 GMT 2023,24,151071,,
Sun Oct 22 15:11:36 GMT 2023,24,149590,,
Sun Oct 22 15:11:37 GMT 2023,24,149450,,
Sun Oct 22 15:11:38 GMT 2023,24,149437,,
Sun Oct 22 15:11:38 GMT 2023,24,149403,,
Sun Oct 22 15:11:39 GMT 2023,24,149661,,
Sun Oct 22 15:11:40 GMT 2023,24,149420,,
Sun Oct 22 15:11:40 GMT 2023,24,149378,,
Sun Oct 22 15:11:41 GMT 2023,24,149358,,
Sun Oct 22 15:11:42 GMT 2023,24,149299,,
Sun Oct 22 15:11:42 GMT 2023,24,148989,,
Sun Oct 22 15:11:43 GMT 2023,24,148292,,
Sun Oct 22 15:11:44 GMT 2023,24,148155,,
Sun Oct 22 15:11:45 GMT 2023,24,148030,,
Sun Oct 22 15:11:45 GMT 2023,24,147985,,
Sun Oct 22 15:11:46 GMT 2023,24,149023,,
Sun Oct 22 15:11:47 GMT 2023,24,148506,,
Sun Oct 22 15:11:47 GMT 2023,24,149773,,
Sun Oct 22 15:11:48 GMT 2023,24,149350,,
Sun Oct 22 15:11:49 GMT 2023,24,149070,,
Sun Oct 22 15:11:49 GMT 2023,24,148914,,
Sun Oct 22 15:11:50 GMT 2023,24,148141,,
Sun Oct 22 15:11:51 GMT 2023,24,147505,,
Sun Oct 22 15:11:51 GMT 2023,24,146946,,
Sun Oct 22 15:11:52 GMT 2023,24,146884,,
Sun Oct 22 15:11:53 GMT 2023,24,145961,,
Sun Oct 22 15:11:53 GMT 2023,24,145564,,
Sun Oct 22 15:11:54 GMT 2023,24,145344,,
Sun Oct 22 15:11:55 GMT 2023,24,145366,,
Sun Oct 22 15:11:55 GMT 2023,24,145076,,
Sun Oct 22 15:11:56 GMT 2023,24,144965,,
Sun Oct 22 15:11:57 GMT 2023,24,144974,,
