datetime,cpu,mem,,
Sun Oct 22 16:03:18 GMT 2023,38,161474,,108319.5814
Sun Oct 22 16:03:19 GMT 2023,38,173212,,
Sun Oct 22 16:03:19 GMT 2023,38,185792,,
Sun Oct 22 16:03:20 GMT 2023,38,188982,,
Sun Oct 22 16:03:21 GMT 2023,38,192238,,
Sun Oct 22 16:03:22 GMT 2023,38,192016,,
Sun Oct 22 16:03:22 GMT 2023,38,192086,,
Sun Oct 22 16:03:23 GMT 2023,38,201503,,
Sun Oct 22 16:03:24 GMT 2023,38,212212,,
Sun Oct 22 16:03:25 GMT 2023,38,215143,,
Sun Oct 22 16:03:26 GMT 2023,38,213453,,
Sun Oct 22 16:03:26 GMT 2023,38,213598,,
Sun Oct 22 16:03:27 GMT 2023,38,213513,,
Sun Oct 22 16:03:28 GMT 2023,38,206920,,
Sun Oct 22 16:03:29 GMT 2023,38,209733,,
Sun Oct 22 16:03:30 GMT 2023,38,209553,,
Sun Oct 22 16:03:31 GMT 2023,38,196241,,
Sun Oct 22 16:03:32 GMT 2023,38,192568,,
Sun Oct 22 16:03:33 GMT 2023,38,190611,,
Sun Oct 22 16:03:33 GMT 2023,38,189512,,
Sun Oct 22 16:03:34 GMT 2023,38,189660,,
Sun Oct 22 16:03:35 GMT 2023,38,188952,,
Sun Oct 22 16:03:35 GMT 2023,38,189906,,
Sun Oct 22 16:03:36 GMT 2023,38,166950,,
Sun Oct 22 16:03:37 GMT 2023,38,157754,,
Sun Oct 22 16:03:38 GMT 2023,38,141741,,
Sun Oct 22 16:03:39 GMT 2023,38,130962,,
Sun Oct 22 16:03:40 GMT 2023,38,115921,,
Sun Oct 22 16:03:41 GMT 2023,38,108788,,
Sun Oct 22 16:03:42 GMT 2023,38,102909,,
Sun Oct 22 16:03:43 GMT 2023,38,97763,,
Sun Oct 22 16:03:44 GMT 2023,38,90914,,
Sun Oct 22 16:03:45 GMT 2023,38,94277,,
Sun Oct 22 16:03:45 GMT 2023,38,100908,,
Sun Oct 22 16:03:46 GMT 2023,38,100935,,
Sun Oct 22 16:03:47 GMT 2023,38,100907,,
Sun Oct 22 16:03:48 GMT 2023,38,92367,,
Sun Oct 22 16:03:49 GMT 2023,38,94047,,
Sun Oct 22 16:03:50 GMT 2023,38,91909,,
Sun Oct 22 16:03:51 GMT 2023,38,91057,,
Sun Oct 22 16:03:51 GMT 2023,38,83104,,
Sun Oct 22 16:03:52 GMT 2023,38,78785,,
Sun Oct 22 16:03:53 GMT 2023,38,83059,,
Sun Oct 22 16:03:54 GMT 2023,38,82111,,
Sun Oct 22 16:03:55 GMT 2023,38,82190,,
Sun Oct 22 16:03:55 GMT 2023,38,82254,,
Sun Oct 22 16:03:56 GMT 2023,38,81845,,
Sun Oct 22 16:03:57 GMT 2023,38,82867,,
Sun Oct 22 16:03:57 GMT 2023,38,81344,,
Sun Oct 22 16:03:58 GMT 2023,38,80154,,
Sun Oct 22 16:03:59 GMT 2023,38,79533,,
Sun Oct 22 16:04:00 GMT 2023,38,79421,,
Sun Oct 22 16:04:00 GMT 2023,38,79395,,
Sun Oct 22 16:04:01 GMT 2023,38,79309,,
Sun Oct 22 16:04:02 GMT 2023,38,81578,,
Sun Oct 22 16:04:03 GMT 2023,38,80072,,
Sun Oct 22 16:04:03 GMT 2023,38,79712,,
Sun Oct 22 16:04:04 GMT 2023,38,79753,,
Sun Oct 22 16:04:05 GMT 2023,38,79557,,
Sun Oct 22 16:04:06 GMT 2023,38,79395,,
Sun Oct 22 16:04:06 GMT 2023,38,79290,,
Sun Oct 22 16:04:07 GMT 2023,38,82534,,
Sun Oct 22 16:04:08 GMT 2023,38,80690,,
Sun Oct 22 16:04:09 GMT 2023,38,80389,,
Sun Oct 22 16:04:09 GMT 2023,38,80441,,
Sun Oct 22 16:04:10 GMT 2023,38,80482,,
Sun Oct 22 16:04:11 GMT 2023,38,80534,,
Sun Oct 22 16:04:11 GMT 2023,38,80806,,
Sun Oct 22 16:04:12 GMT 2023,38,85295,,
Sun Oct 22 16:04:13 GMT 2023,38,81687,,
Sun Oct 22 16:04:14 GMT 2023,38,81627,,
Sun Oct 22 16:04:14 GMT 2023,38,81687,,
Sun Oct 22 16:04:15 GMT 2023,38,83046,,
Sun Oct 22 16:04:16 GMT 2023,38,83140,,
Sun Oct 22 16:04:17 GMT 2023,38,83171,,
Sun Oct 22 16:04:17 GMT 2023,38,83214,,
Sun Oct 22 16:04:18 GMT 2023,38,84188,,
Sun Oct 22 16:04:19 GMT 2023,38,88474,,
Sun Oct 22 16:04:20 GMT 2023,38,85387,,
Sun Oct 22 16:04:20 GMT 2023,38,86513,,
Sun Oct 22 16:04:21 GMT 2023,38,86653,,
Sun Oct 22 16:04:21 GMT 2023,38,86693,,
Sun Oct 22 16:04:22 GMT 2023,38,86796,,
Sun Oct 22 16:04:23 GMT 2023,38,86788,,
Sun Oct 22 16:04:23 GMT 2023,38,86840,,
Sun Oct 22 16:04:24 GMT 2023,38,86872,,
Sun Oct 22 16:04:25 GMT 2023,38,91043,,
Sun Oct 22 16:04:26 GMT 2023,38,87609,,
Sun Oct 22 16:04:27 GMT 2023,38,87072,,
Sun Oct 22 16:04:27 GMT 2023,38,87151,,
Sun Oct 22 16:04:28 GMT 2023,38,87188,,
Sun Oct 22 16:04:29 GMT 2023,38,87214,,
Sun Oct 22 16:04:30 GMT 2023,38,87277,,
Sun Oct 22 16:04:30 GMT 2023,38,87295,,
Sun Oct 22 16:04:31 GMT 2023,38,91121,,
Sun Oct 22 16:04:32 GMT 2023,38,86982,,
Sun Oct 22 16:04:33 GMT 2023,38,86542,,
Sun Oct 22 16:04:33 GMT 2023,38,86556,,
Sun Oct 22 16:04:34 GMT 2023,38,86738,,
Sun Oct 22 16:04:35 GMT 2023,38,86841,,
Sun Oct 22 16:04:36 GMT 2023,38,86906,,
Sun Oct 22 16:04:37 GMT 2023,38,86944,,
Sun Oct 22 16:04:38 GMT 2023,38,90013,,
Sun Oct 22 16:04:39 GMT 2023,38,87508,,
Sun Oct 22 16:04:39 GMT 2023,38,87139,,
Sun Oct 22 16:04:40 GMT 2023,38,87173,,
Sun Oct 22 16:04:41 GMT 2023,38,87228,,
Sun Oct 22 16:04:42 GMT 2023,38,87254,,
