datetime,cpu,mem,,
Sun Oct 22 13:00:36 GMT 2023,53,156374,,158572.0131
Sun Oct 22 13:00:36 GMT 2023,53,166682,,
Sun Oct 22 13:00:37 GMT 2023,53,180036,,
Sun Oct 22 13:00:38 GMT 2023,53,211537,,
Sun Oct 22 13:00:39 GMT 2023,53,195952,,
Sun Oct 22 13:00:39 GMT 2023,53,192341,,
Sun Oct 22 13:00:40 GMT 2023,53,192402,,
Sun Oct 22 13:00:41 GMT 2023,53,197732,,
Sun Oct 22 13:00:41 GMT 2023,53,195665,,
Sun Oct 22 13:00:42 GMT 2023,53,167175,,
Sun Oct 22 13:00:43 GMT 2023,53,159303,,
Sun Oct 22 13:00:44 GMT 2023,53,160053,,
Sun Oct 22 13:00:45 GMT 2023,53,157798,,
Sun Oct 22 13:00:45 GMT 2023,53,155422,,
Sun Oct 22 13:00:46 GMT 2023,53,155242,,
Sun Oct 22 13:00:47 GMT 2023,53,154800,,
Sun Oct 22 13:00:47 GMT 2023,53,154574,,
Sun Oct 22 13:00:48 GMT 2023,53,154500,,
Sun Oct 22 13:00:49 GMT 2023,53,154509,,
Sun Oct 22 13:00:49 GMT 2023,53,153403,,
Sun Oct 22 13:00:50 GMT 2023,53,153375,,
Sun Oct 22 13:00:51 GMT 2023,53,153219,,
Sun Oct 22 13:00:51 GMT 2023,53,153122,,
Sun Oct 22 13:00:52 GMT 2023,53,153087,,
Sun Oct 22 13:00:53 GMT 2023,53,153937,,
Sun Oct 22 13:00:53 GMT 2023,53,153798,,
Sun Oct 22 13:00:54 GMT 2023,53,153807,,
Sun Oct 22 13:00:55 GMT 2023,53,153904,,
Sun Oct 22 13:00:55 GMT 2023,53,153932,,
Sun Oct 22 13:00:56 GMT 2023,53,151842,,
Sun Oct 22 13:00:57 GMT 2023,53,151811,,
Sun Oct 22 13:00:57 GMT 2023,53,151808,,
Sun Oct 22 13:00:58 GMT 2023,53,151912,,
Sun Oct 22 13:00:59 GMT 2023,53,152070,,
Sun Oct 22 13:00:59 GMT 2023,53,151971,,
Sun Oct 22 13:01:00 GMT 2023,53,151820,,
Sun Oct 22 13:01:01 GMT 2023,53,151837,,
Sun Oct 22 13:01:01 GMT 2023,27,151784,,
Sun Oct 22 13:01:02 GMT 2023,27,151629,,
Sun Oct 22 13:01:03 GMT 2023,27,151216,,
Sun Oct 22 13:01:03 GMT 2023,27,151265,,
Sun Oct 22 13:01:04 GMT 2023,27,151252,,
Sun Oct 22 13:01:05 GMT 2023,27,151601,,
Sun Oct 22 13:01:05 GMT 2023,27,151538,,
Sun Oct 22 13:01:06 GMT 2023,27,153234,,
Sun Oct 22 13:01:07 GMT 2023,27,153096,,
Sun Oct 22 13:01:07 GMT 2023,27,154658,,
Sun Oct 22 13:01:08 GMT 2023,27,154700,,
Sun Oct 22 13:01:09 GMT 2023,27,154469,,
Sun Oct 22 13:01:09 GMT 2023,27,154512,,
Sun Oct 22 13:01:10 GMT 2023,27,154565,,
Sun Oct 22 13:01:11 GMT 2023,27,154826,,
Sun Oct 22 13:01:11 GMT 2023,27,154744,,
Sun Oct 22 13:01:12 GMT 2023,27,154728,,
Sun Oct 22 13:01:13 GMT 2023,27,154774,,
Sun Oct 22 13:01:13 GMT 2023,27,154836,,
Sun Oct 22 13:01:14 GMT 2023,27,154976,,
Sun Oct 22 13:01:15 GMT 2023,27,155035,,
Sun Oct 22 13:01:15 GMT 2023,27,155087,,
Sun Oct 22 13:01:16 GMT 2023,27,155099,,
Sun Oct 22 13:01:17 GMT 2023,27,155320,,
Sun Oct 22 13:01:17 GMT 2023,27,155232,,
Sun Oct 22 13:01:18 GMT 2023,27,155257,,
Sun Oct 22 13:01:18 GMT 2023,27,155344,,
Sun Oct 22 13:01:19 GMT 2023,27,155384,,
Sun Oct 22 13:01:20 GMT 2023,27,155414,,
Sun Oct 22 13:01:20 GMT 2023,27,155463,,
Sun Oct 22 13:01:21 GMT 2023,27,155466,,
Sun Oct 22 13:01:22 GMT 2023,27,155556,,
Sun Oct 22 13:01:22 GMT 2023,27,155850,,
Sun Oct 22 13:01:23 GMT 2023,27,155652,,
Sun Oct 22 13:01:24 GMT 2023,27,155669,,
Sun Oct 22 13:01:25 GMT 2023,27,155766,,
Sun Oct 22 13:01:25 GMT 2023,27,155834,,
Sun Oct 22 13:01:26 GMT 2023,27,155884,,
Sun Oct 22 13:01:26 GMT 2023,27,155943,,
Sun Oct 22 13:01:27 GMT 2023,27,155968,,
Sun Oct 22 13:01:28 GMT 2023,27,156043,,
Sun Oct 22 13:01:29 GMT 2023,27,156316,,
Sun Oct 22 13:01:29 GMT 2023,27,156212,,
