datetime,cpu,mem,,avg
Mon Oct 16 13:30:11 GMT 2023,7,167239,,153615.7813
Mon Oct 16 13:30:12 GMT 2023,7,169321,,
Mon Oct 16 13:30:12 GMT 2023,7,183880,,
Mon Oct 16 13:30:13 GMT 2023,7,211377,,
Mon Oct 16 13:30:14 GMT 2023,7,200060,,
Mon Oct 16 13:30:15 GMT 2023,7,196464,,
Mon Oct 16 13:30:15 GMT 2023,7,196518,,
Mon Oct 16 13:30:16 GMT 2023,7,201464,,
Mon Oct 16 13:30:17 GMT 2023,7,195755,,
Mon Oct 16 13:30:18 GMT 2023,7,171709,,
Mon Oct 16 13:30:19 GMT 2023,59,149793,,
Mon Oct 16 13:30:20 GMT 2023,59,146055,,
Mon Oct 16 13:30:20 GMT 2023,59,144029,,
Mon Oct 16 13:30:21 GMT 2023,59,144012,,
Mon Oct 16 13:30:22 GMT 2023,59,144024,,
Mon Oct 16 13:30:22 GMT 2023,59,144062,,
Mon Oct 16 13:30:23 GMT 2023,59,146765,,
Mon Oct 16 13:30:24 GMT 2023,59,146751,,
Mon Oct 16 13:30:24 GMT 2023,59,147439,,
Mon Oct 16 13:30:25 GMT 2023,59,147100,,
Mon Oct 16 13:30:26 GMT 2023,59,147136,,
Mon Oct 16 13:30:27 GMT 2023,59,147146,,
Mon Oct 16 13:30:27 GMT 2023,59,147195,,
Mon Oct 16 13:30:28 GMT 2023,59,146526,,
Mon Oct 16 13:30:29 GMT 2023,59,146821,,
Mon Oct 16 13:30:29 GMT 2023,59,146698,,
Mon Oct 16 13:30:30 GMT 2023,59,146703,,
Mon Oct 16 13:30:31 GMT 2023,59,146735,,
Mon Oct 16 13:30:31 GMT 2023,59,143758,,
Mon Oct 16 13:30:32 GMT 2023,59,141679,,
Mon Oct 16 13:30:33 GMT 2023,59,141616,,
Mon Oct 16 13:30:34 GMT 2023,59,141842,,
Mon Oct 16 13:30:34 GMT 2023,59,141846,,
Mon Oct 16 13:30:35 GMT 2023,59,141841,,
Mon Oct 16 13:30:36 GMT 2023,59,141952,,
Mon Oct 16 13:30:36 GMT 2023,59,139814,,
Mon Oct 16 13:30:37 GMT 2023,59,139887,,
Mon Oct 16 13:30:38 GMT 2023,59,139914,,
Mon Oct 16 13:30:38 GMT 2023,59,139980,,
Mon Oct 16 13:30:39 GMT 2023,59,140304,,
Mon Oct 16 13:30:40 GMT 2023,59,140157,,
Mon Oct 16 13:30:40 GMT 2023,59,140183,,
Mon Oct 16 13:30:41 GMT 2023,59,141530,,
Mon Oct 16 13:30:42 GMT 2023,59,141036,,
Mon Oct 16 13:30:42 GMT 2023,59,141087,,
Mon Oct 16 13:30:43 GMT 2023,59,142334,,
Mon Oct 16 13:30:44 GMT 2023,59,142561,,
Mon Oct 16 13:30:44 GMT 2023,59,142465,,
Mon Oct 16 13:30:45 GMT 2023,59,142470,,
Mon Oct 16 13:30:46 GMT 2023,59,142554,,
Mon Oct 16 13:30:46 GMT 2023,59,142596,,
Mon Oct 16 13:30:47 GMT 2023,59,142670,,
Mon Oct 16 13:30:48 GMT 2023,59,142722,,
Mon Oct 16 13:30:49 GMT 2023,59,142775,,
Mon Oct 16 13:30:49 GMT 2023,59,143332,,
Mon Oct 16 13:30:50 GMT 2023,59,143254,,
Mon Oct 16 13:30:51 GMT 2023,59,143281,,
Mon Oct 16 13:30:51 GMT 2023,59,143322,,
Mon Oct 16 13:30:52 GMT 2023,59,143392,,
Mon Oct 16 13:30:53 GMT 2023,59,143438,,
Mon Oct 16 13:30:53 GMT 2023,59,143489,,
Mon Oct 16 13:30:54 GMT 2023,59,143518,,
Mon Oct 16 13:30:55 GMT 2023,59,143356,,
Mon Oct 16 13:30:55 GMT 2023,59,143652,,
Mon Oct 16 13:30:56 GMT 2023,59,143509,,
Mon Oct 16 13:30:57 GMT 2023,59,143531,,
Mon Oct 16 13:30:57 GMT 2023,59,143570,,
Mon Oct 16 13:30:58 GMT 2023,59,143636,,
Mon Oct 16 13:30:59 GMT 2023,59,143681,,
Mon Oct 16 13:30:59 GMT 2023,59,143636,,
Mon Oct 16 13:31:00 GMT 2023,59,143781,,
