datetime,cpu,mem,,
Mon Oct 16 14:11:03 GMT 2023,5,155851,,150703.9085
Mon Oct 16 14:11:04 GMT 2023,5,167993,,
Mon Oct 16 14:11:04 GMT 2023,5,176955,,
Mon Oct 16 14:11:05 GMT 2023,5,204644,,
Mon Oct 16 14:11:06 GMT 2023,5,191159,,
Mon Oct 16 14:11:07 GMT 2023,5,187501,,
Mon Oct 16 14:11:07 GMT 2023,5,187624,,
Mon Oct 16 14:11:08 GMT 2023,5,192240,,
Mon Oct 16 14:11:09 GMT 2023,5,189587,,
Mon Oct 16 14:11:10 GMT 2023,5,161447,,
Mon Oct 16 14:11:11 GMT 2023,5,155712,,
Mon Oct 16 14:11:11 GMT 2023,5,154342,,
Mon Oct 16 14:11:12 GMT 2023,5,154205,,
Mon Oct 16 14:11:13 GMT 2023,5,153214,,
Mon Oct 16 14:11:13 GMT 2023,5,152985,,
Mon Oct 16 14:11:14 GMT 2023,5,153384,,
Mon Oct 16 14:11:15 GMT 2023,5,152842,,
Mon Oct 16 14:11:15 GMT 2023,5,152725,,
Mon Oct 16 14:11:16 GMT 2023,5,151942,,
Mon Oct 16 14:11:17 GMT 2023,5,150591,,
Mon Oct 16 14:11:18 GMT 2023,5,150195,,
Mon Oct 16 14:11:18 GMT 2023,5,150210,,
Mon Oct 16 14:11:19 GMT 2023,5,150180,,
Mon Oct 16 14:11:20 GMT 2023,5,150237,,
Mon Oct 16 14:11:20 GMT 2023,5,150274,,
Mon Oct 16 14:11:21 GMT 2023,5,150387,,
Mon Oct 16 14:11:22 GMT 2023,5,150417,,
Mon Oct 16 14:11:22 GMT 2023,5,149819,,
Mon Oct 16 14:11:23 GMT 2023,5,149842,,
Mon Oct 16 14:11:24 GMT 2023,5,148555,,
Mon Oct 16 14:11:24 GMT 2023,5,148457,,
Mon Oct 16 14:11:25 GMT 2023,5,148383,,
Mon Oct 16 14:11:26 GMT 2023,5,148352,,
Mon Oct 16 14:11:26 GMT 2023,5,148717,,
Mon Oct 16 14:11:27 GMT 2023,5,148516,,
Mon Oct 16 14:11:28 GMT 2023,5,148496,,
Mon Oct 16 14:11:28 GMT 2023,5,148483,,
Mon Oct 16 14:11:29 GMT 2023,5,148500,,
Mon Oct 16 14:11:30 GMT 2023,5,148553,,
Mon Oct 16 14:11:30 GMT 2023,5,148585,,
Mon Oct 16 14:11:31 GMT 2023,5,148610,,
Mon Oct 16 14:11:32 GMT 2023,5,148912,,
Mon Oct 16 14:11:32 GMT 2023,5,148552,,
Mon Oct 16 14:11:33 GMT 2023,5,150482,,
Mon Oct 16 14:11:34 GMT 2023,5,150342,,
Mon Oct 16 14:11:34 GMT 2023,5,151197,,
Mon Oct 16 14:11:35 GMT 2023,5,151884,,
Mon Oct 16 14:11:36 GMT 2023,5,151918,,
Mon Oct 16 14:11:36 GMT 2023,5,151888,,
Mon Oct 16 14:11:37 GMT 2023,5,151810,,
Mon Oct 16 14:11:38 GMT 2023,5,151839,,
Mon Oct 16 14:11:39 GMT 2023,5,151878,,
Mon Oct 16 14:11:39 GMT 2023,5,151906,,
Mon Oct 16 14:11:40 GMT 2023,5,151949,,
Mon Oct 16 14:11:41 GMT 2023,5,151995,,
Mon Oct 16 14:11:41 GMT 2023,5,152040,,
Mon Oct 16 14:11:42 GMT 2023,5,152267,,
Mon Oct 16 14:11:43 GMT 2023,5,152159,,
Mon Oct 16 14:11:43 GMT 2023,5,152179,,
Mon Oct 16 14:11:44 GMT 2023,5,152247,,
Mon Oct 16 14:11:45 GMT 2023,5,152283,,
Mon Oct 16 14:11:45 GMT 2023,5,152340,,
Mon Oct 16 14:11:46 GMT 2023,5,152388,,
Mon Oct 16 14:11:47 GMT 2023,5,152660,,
Mon Oct 16 14:11:48 GMT 2023,5,152575,,
Mon Oct 16 14:11:48 GMT 2023,5,152598,,
Mon Oct 16 14:11:49 GMT 2023,5,152745,,
Mon Oct 16 14:11:50 GMT 2023,5,152763,,
Mon Oct 16 14:11:50 GMT 2023,5,152815,,
Mon Oct 16 14:11:51 GMT 2023,5,152841,,
Mon Oct 16 14:11:52 GMT 2023,5,152923,,
Mon Oct 16 14:11:52 GMT 2023,5,152930,,
Mon Oct 16 14:11:53 GMT 2023,5,153108,,
Mon Oct 16 14:11:54 GMT 2023,5,153125,,
Mon Oct 16 14:11:54 GMT 2023,5,153167,,
Mon Oct 16 14:11:55 GMT 2023,5,153211,,
Mon Oct 16 14:11:56 GMT 2023,5,153265,,
Mon Oct 16 14:11:56 GMT 2023,5,153306,,
Mon Oct 16 14:11:57 GMT 2023,5,153538,,
Mon Oct 16 14:11:58 GMT 2023,5,153424,,
Mon Oct 16 14:11:58 GMT 2023,5,153422,,
Mon Oct 16 14:11:59 GMT 2023,5,153456,,
Mon Oct 16 14:12:00 GMT 2023,5,152426,,
Mon Oct 16 14:12:00 GMT 2023,5,144055,,
Mon Oct 16 14:12:01 GMT 2023,5,143839,,
Mon Oct 16 14:12:02 GMT 2023,5,143878,,
Mon Oct 16 14:12:02 GMT 2023,5,143904,,
Mon Oct 16 14:12:03 GMT 2023,5,145046,,
Mon Oct 16 14:12:04 GMT 2023,5,141697,,
Mon Oct 16 14:12:04 GMT 2023,5,141738,,
Mon Oct 16 14:12:05 GMT 2023,5,142275,,
Mon Oct 16 14:12:06 GMT 2023,5,142318,,
Mon Oct 16 14:12:06 GMT 2023,5,142167,,
Mon Oct 16 14:12:07 GMT 2023,5,142204,,
Mon Oct 16 14:12:08 GMT 2023,5,142104,,
Mon Oct 16 14:12:08 GMT 2023,5,142197,,
Mon Oct 16 14:12:09 GMT 2023,5,142089,,
Mon Oct 16 14:12:10 GMT 2023,5,142104,,
Mon Oct 16 14:12:10 GMT 2023,5,142062,,
Mon Oct 16 14:12:11 GMT 2023,5,142106,,
Mon Oct 16 14:12:12 GMT 2023,5,142154,,
Mon Oct 16 14:12:12 GMT 2023,5,142210,,
Mon Oct 16 14:12:13 GMT 2023,5,142265,,
Mon Oct 16 14:12:13 GMT 2023,5,142327,,
Mon Oct 16 14:12:14 GMT 2023,5,142553,,
Mon Oct 16 14:12:15 GMT 2023,5,142418,,
Mon Oct 16 14:12:15 GMT 2023,5,142437,,
Mon Oct 16 14:12:16 GMT 2023,5,142215,,
Mon Oct 16 14:12:17 GMT 2023,5,141875,,
Mon Oct 16 14:12:17 GMT 2023,5,141910,,
Mon Oct 16 14:12:18 GMT 2023,5,141939,,
Mon Oct 16 14:12:19 GMT 2023,5,141960,,
Mon Oct 16 14:12:19 GMT 2023,5,141827,,
Mon Oct 16 14:12:20 GMT 2023,5,141855,,
