datetime,cpu,mem,,
Mon Oct 16 14:44:28 GMT 2023,13,168186,,87557.88641
Mon Oct 16 14:44:28 GMT 2023,13,184735,,
Mon Oct 16 14:44:29 GMT 2023,13,178900,,
Mon Oct 16 14:44:30 GMT 2023,13,212143,,
Mon Oct 16 14:44:31 GMT 2023,13,196062,,
Mon Oct 16 14:44:32 GMT 2023,13,196552,,
Mon Oct 16 14:44:32 GMT 2023,13,196072,,
Mon Oct 16 14:44:33 GMT 2023,13,193441,,
Mon Oct 16 14:44:34 GMT 2023,13,169604,,
Mon Oct 16 14:44:35 GMT 2023,13,139715,,
Mon Oct 16 14:44:36 GMT 2023,13,123339,,
Mon Oct 16 14:44:37 GMT 2023,13,115093,,
Mon Oct 16 14:44:38 GMT 2023,13,102627,,
Mon Oct 16 14:44:38 GMT 2023,13,98418,,
Mon Oct 16 14:44:39 GMT 2023,13,81681,,
Mon Oct 16 14:44:40 GMT 2023,13,79869,,
Mon Oct 16 14:44:41 GMT 2023,13,76414,,
Mon Oct 16 14:44:41 GMT 2023,13,77457,,
Mon Oct 16 14:44:42 GMT 2023,13,77441,,
Mon Oct 16 14:44:43 GMT 2023,13,76922,,
Mon Oct 16 14:44:43 GMT 2023,13,76473,,
Mon Oct 16 14:44:44 GMT 2023,13,76148,,
Mon Oct 16 14:44:45 GMT 2023,13,76844,,
Mon Oct 16 14:44:45 GMT 2023,13,75246,,
Mon Oct 16 14:44:46 GMT 2023,13,75279,,
Mon Oct 16 14:44:47 GMT 2023,13,74821,,
Mon Oct 16 14:44:47 GMT 2023,13,74834,,
Mon Oct 16 14:44:48 GMT 2023,13,74871,,
Mon Oct 16 14:44:49 GMT 2023,13,73932,,
Mon Oct 16 14:44:50 GMT 2023,13,74324,,
Mon Oct 16 14:44:50 GMT 2023,13,74151,,
Mon Oct 16 14:44:51 GMT 2023,13,74340,,
Mon Oct 16 14:44:52 GMT 2023,13,74151,,
Mon Oct 16 14:44:52 GMT 2023,13,74173,,
Mon Oct 16 14:44:53 GMT 2023,13,74228,,
Mon Oct 16 14:44:54 GMT 2023,13,74294,,
Mon Oct 16 14:44:54 GMT 2023,13,74336,,
Mon Oct 16 14:44:55 GMT 2023,13,74379,,
Mon Oct 16 14:44:56 GMT 2023,13,74752,,
Mon Oct 16 14:44:56 GMT 2023,13,74591,,
Mon Oct 16 14:44:57 GMT 2023,13,74601,,
Mon Oct 16 14:44:58 GMT 2023,13,76889,,
Mon Oct 16 14:44:58 GMT 2023,13,76882,,
Mon Oct 16 14:44:59 GMT 2023,13,76937,,
Mon Oct 16 14:45:00 GMT 2023,13,78264,,
Mon Oct 16 14:45:00 GMT 2023,13,78316,,
Mon Oct 16 14:45:01 GMT 2023,13,78593,,
Mon Oct 16 14:45:02 GMT 2023,13,78539,,
Mon Oct 16 14:45:02 GMT 2023,13,78585,,
Mon Oct 16 14:45:03 GMT 2023,13,78585,,
Mon Oct 16 14:45:04 GMT 2023,13,78685,,
Mon Oct 16 14:45:04 GMT 2023,13,78740,,
Mon Oct 16 14:45:05 GMT 2023,13,78788,,
Mon Oct 16 14:45:06 GMT 2023,13,77629,,
Mon Oct 16 14:45:07 GMT 2023,13,76856,,
Mon Oct 16 14:45:07 GMT 2023,13,76790,,
Mon Oct 16 14:45:08 GMT 2023,13,75698,,
Mon Oct 16 14:45:09 GMT 2023,13,75107,,
Mon Oct 16 14:45:09 GMT 2023,13,74414,,
Mon Oct 16 14:45:10 GMT 2023,13,73490,,
