datetime,cpu,mem,,
Tue Oct 17 15:03:45 GMT 2023,30,167653,,190138.4452
Tue Oct 17 15:03:46 GMT 2023,30,188131,,
Tue Oct 17 15:03:47 GMT 2023,30,189405,,
Tue Oct 17 15:03:47 GMT 2023,30,189765,,
Tue Oct 17 15:03:48 GMT 2023,30,190813,,
Tue Oct 17 15:03:49 GMT 2023,30,193176,,
Tue Oct 17 15:03:49 GMT 2023,30,203956,,
Tue Oct 17 15:03:50 GMT 2023,30,208064,,
Tue Oct 17 15:03:51 GMT 2023,30,207006,,
Tue Oct 17 15:03:52 GMT 2023,30,206444,,
Tue Oct 17 15:03:53 GMT 2023,30,206531,,
Tue Oct 17 15:03:53 GMT 2023,30,208330,,
Tue Oct 17 15:03:54 GMT 2023,30,208604,,
Tue Oct 17 15:03:55 GMT 2023,30,209786,,
Tue Oct 17 15:03:56 GMT 2023,30,204372,,
Tue Oct 17 15:03:57 GMT 2023,30,204412,,
Tue Oct 17 15:03:58 GMT 2023,30,198943,,
Tue Oct 17 15:03:58 GMT 2023,30,198425,,
Tue Oct 17 15:03:59 GMT 2023,30,189180,,
Tue Oct 17 15:04:00 GMT 2023,30,189209,,
Tue Oct 17 15:04:01 GMT 2023,30,189540,,
Tue Oct 17 15:04:01 GMT 2023,30,189474,,
Tue Oct 17 15:04:02 GMT 2023,30,189475,,
Tue Oct 17 15:04:03 GMT 2023,30,189027,,
Tue Oct 17 15:04:03 GMT 2023,30,189090,,
Tue Oct 17 15:04:04 GMT 2023,30,189119,,
Tue Oct 17 15:04:05 GMT 2023,30,189049,,
Tue Oct 17 15:04:05 GMT 2023,30,189679,,
Tue Oct 17 15:04:06 GMT 2023,30,186612,,
Tue Oct 17 15:04:07 GMT 2023,30,186307,,
Tue Oct 17 15:04:08 GMT 2023,30,186328,,
Tue Oct 17 15:04:08 GMT 2023,30,186376,,
Tue Oct 17 15:04:09 GMT 2023,30,186467,,
Tue Oct 17 15:04:10 GMT 2023,30,186507,,
Tue Oct 17 15:04:10 GMT 2023,30,186563,,
Tue Oct 17 15:04:11 GMT 2023,30,187495,,
Tue Oct 17 15:04:11 GMT 2023,30,186778,,
Tue Oct 17 15:04:12 GMT 2023,30,186724,,
Tue Oct 17 15:04:13 GMT 2023,30,186758,,
Tue Oct 17 15:04:13 GMT 2023,30,186800,,
Tue Oct 17 15:04:14 GMT 2023,30,186848,,
