datetime,cpu,mem,,
Tue Oct 17 15:37:58 GMT 2023,32,142188,,104113.6618
Tue Oct 17 15:37:58 GMT 2023,32,171175,,
Tue Oct 17 15:37:59 GMT 2023,32,170888,,
Tue Oct 17 15:38:00 GMT 2023,32,188156,,
Tue Oct 17 15:38:01 GMT 2023,32,194206,,
Tue Oct 17 15:38:01 GMT 2023,32,193974,,
Tue Oct 17 15:38:02 GMT 2023,32,194357,,
Tue Oct 17 15:38:03 GMT 2023,32,203917,,
Tue Oct 17 15:38:04 GMT 2023,32,203506,,
Tue Oct 17 15:38:05 GMT 2023,32,201917,,
Tue Oct 17 15:38:05 GMT 2023,32,203816,,
Tue Oct 17 15:38:06 GMT 2023,32,203751,,
Tue Oct 17 15:38:07 GMT 2023,32,201074,,
Tue Oct 17 15:38:08 GMT 2023,32,210319,,
Tue Oct 17 15:38:09 GMT 2023,32,209228,,
Tue Oct 17 15:38:10 GMT 2023,32,203938,,
Tue Oct 17 15:38:10 GMT 2023,32,203064,,
Tue Oct 17 15:38:11 GMT 2023,32,208747,,
Tue Oct 17 15:38:12 GMT 2023,32,208395,,
Tue Oct 17 15:38:12 GMT 2023,32,204293,,
Tue Oct 17 15:38:13 GMT 2023,32,203679,,
Tue Oct 17 15:38:14 GMT 2023,32,187634,,
Tue Oct 17 15:38:15 GMT 2023,32,165349,,
Tue Oct 17 15:38:16 GMT 2023,32,141301,,
Tue Oct 17 15:38:17 GMT 2023,32,131343,,
Tue Oct 17 15:38:18 GMT 2023,32,127227,,
Tue Oct 17 15:38:18 GMT 2023,32,99529,,
Tue Oct 17 15:38:19 GMT 2023,32,98197,,
Tue Oct 17 15:38:20 GMT 2023,32,99196,,
Tue Oct 17 15:38:21 GMT 2023,32,89464,,
Tue Oct 17 15:38:22 GMT 2023,32,85950,,
Tue Oct 17 15:38:23 GMT 2023,32,85937,,
Tue Oct 17 15:38:23 GMT 2023,32,88047,,
Tue Oct 17 15:38:24 GMT 2023,32,85757,,
Tue Oct 17 15:38:25 GMT 2023,32,85812,,
Tue Oct 17 15:38:26 GMT 2023,32,85632,,
Tue Oct 17 15:38:26 GMT 2023,32,85687,,
